"REPORTER","Reporter Country","PARTNER","Partner Country","COM_H3","Commodity","MEASURE","Measure","TIME","Time","Value","Flag Codes","Flags"
"BRA","Brazil","PRY","Paraguay","2202","2202: Waters, including mineral waters and aerated waters, containing added sugar or other sweetening matter or flavoured, and other non-alcoholic beverages, not including fruit or vegetable juices of heading 20.09.","1","Value","2015","2015",0.054,,
"BRA","Brazil","PRY","Paraguay","2202","2202: Waters, including mineral waters and aerated waters, containing added sugar or other sweetening matter or flavoured, and other non-alcoholic beverages, not including fruit or vegetable juices of heading 20.09.","1","Value","2016","2016",0.054,,
"BRA","Brazil","PRY","Paraguay","2202","2202: Waters, including mineral waters and aerated waters, containing added sugar or other sweetening matter or flavoured, and other non-alcoholic beverages, not including fruit or vegetable juices of heading 20.09.","1","Value","2017","2017",0.054,,
"BRA","Brazil","PRY","Paraguay","2202","2202: Waters, including mineral waters and aerated waters, containing added sugar or other sweetening matter or flavoured, and other non-alcoholic beverages, not including fruit or vegetable juices of heading 20.09.","1","Value","2018","2018",0.055,,
"BRA","Brazil","PRY","Paraguay","2202","2202: Waters, including mineral waters and aerated waters, containing added sugar or other sweetening matter or flavoured, and other non-alcoholic beverages, not including fruit or vegetable juices of heading 20.09.","1","Value","2019","2019",0.055,,
"BRA","Brazil","PRY","Paraguay","2202","2202: Waters, including mineral waters and aerated waters, containing added sugar or other sweetening matter or flavoured, and other non-alcoholic beverages, not including fruit or vegetable juices of heading 20.09.","1","Value","2020","2020",0.054,,
"BRA","Brazil","PRY","Paraguay","1513","1513: Coconut (copra), palm kernel or babassu oil and fractions thereof, whether or not refined, but not chemically modified.","1","Value","2015","2015",0.05,,
"BRA","Brazil","PRY","Paraguay","1513","1513: Coconut (copra), palm kernel or babassu oil and fractions thereof, whether or not refined, but not chemically modified.","1","Value","2016","2016",0.039,,
"BRA","Brazil","PRY","Paraguay","1513","1513: Coconut (copra), palm kernel or babassu oil and fractions thereof, whether or not refined, but not chemically modified.","1","Value","2017","2017",0.034,,
"BRA","Brazil","PRY","Paraguay","1513","1513: Coconut (copra), palm kernel or babassu oil and fractions thereof, whether or not refined, but not chemically modified.","1","Value","2018","2018",0.03,,
"BRA","Brazil","PRY","Paraguay","1513","1513: Coconut (copra), palm kernel or babassu oil and fractions thereof, whether or not refined, but not chemically modified.","1","Value","2019","2019",0.025,,
"BRA","Brazil","PRY","Paraguay","1513","1513: Coconut (copra), palm kernel or babassu oil and fractions thereof, whether or not refined, but not chemically modified.","1","Value","2020","2020",0.021,,
"BRA","Brazil","PRY","Paraguay","7602","7602: Aluminium waste and scrap.","1","Value","2015","2015",0.024,,
"BRA","Brazil","PRY","Paraguay","7602","7602: Aluminium waste and scrap.","1","Value","2016","2016",0.027,,
"BRA","Brazil","PRY","Paraguay","7602","7602: Aluminium waste and scrap.","1","Value","2017","2017",0.021,,
"BRA","Brazil","PRY","Paraguay","7602","7602: Aluminium waste and scrap.","1","Value","2018","2018",0.023,,
"BRA","Brazil","PRY","Paraguay","7602","7602: Aluminium waste and scrap.","1","Value","2019","2019",0.025,,
"BRA","Brazil","PRY","Paraguay","7602","7602: Aluminium waste and scrap.","1","Value","2020","2020",0.028,,
"BRA","Brazil","PRY","Paraguay","5609","5609: Articles of yarn, strip or the like of heading 54.04 or 54.05, twine, cordage, rope or cables, not elsewhere specified or included.","1","Value","2015","2015",0.027,,
"BRA","Brazil","PRY","Paraguay","5609","5609: Articles of yarn, strip or the like of heading 54.04 or 54.05, twine, cordage, rope or cables, not elsewhere specified or included.","1","Value","2016","2016",0.006,,
"BRA","Brazil","PRY","Paraguay","5609","5609: Articles of yarn, strip or the like of heading 54.04 or 54.05, twine, cordage, rope or cables, not elsewhere specified or included.","1","Value","2017","2017",0.007,,
"BRA","Brazil","PRY","Paraguay","5609","5609: Articles of yarn, strip or the like of heading 54.04 or 54.05, twine, cordage, rope or cables, not elsewhere specified or included.","1","Value","2018","2018",0.014,,
"BRA","Brazil","PRY","Paraguay","5609","5609: Articles of yarn, strip or the like of heading 54.04 or 54.05, twine, cordage, rope or cables, not elsewhere specified or included.","1","Value","2019","2019",0.021,,
"BRA","Brazil","PRY","Paraguay","5609","5609: Articles of yarn, strip or the like of heading 54.04 or 54.05, twine, cordage, rope or cables, not elsewhere specified or included.","1","Value","2020","2020",0.028,,
"BRA","Brazil","PRY","Paraguay","8477","8477: Machinery for working rubber or plastics or for the manufacture of products from these materials, not specified or included elsewhere in this Chapter.","1","Value","2015","2015",0.035,,
"BRA","Brazil","PRY","Paraguay","8477","8477: Machinery for working rubber or plastics or for the manufacture of products from these materials, not specified or included elsewhere in this Chapter.","1","Value","2016","2016",0.018,,
"BRA","Brazil","PRY","Paraguay","8477","8477: Machinery for working rubber or plastics or for the manufacture of products from these materials, not specified or included elsewhere in this Chapter.","1","Value","2017","2017",0.013,,
"BRA","Brazil","PRY","Paraguay","8477","8477: Machinery for working rubber or plastics or for the manufacture of products from these materials, not specified or included elsewhere in this Chapter.","1","Value","2018","2018",0.013,,
"BRA","Brazil","PRY","Paraguay","8477","8477: Machinery for working rubber or plastics or for the manufacture of products from these materials, not specified or included elsewhere in this Chapter.","1","Value","2019","2019",0.012,,
"BRA","Brazil","PRY","Paraguay","8477","8477: Machinery for working rubber or plastics or for the manufacture of products from these materials, not specified or included elsewhere in this Chapter.","1","Value","2020","2020",0.012,,
"BRA","Brazil","PRY","Paraguay","6204","6204: Women's or girls' suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear).","1","Value","2015","2015",0.015,,
"BRA","Brazil","PRY","Paraguay","6204","6204: Women's or girls' suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear).","1","Value","2016","2016",0.013,,
"BRA","Brazil","PRY","Paraguay","6204","6204: Women's or girls' suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear).","1","Value","2017","2017",0.01,,
"BRA","Brazil","PRY","Paraguay","6204","6204: Women's or girls' suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear).","1","Value","2018","2018",0.009,,
"BRA","Brazil","PRY","Paraguay","6204","6204: Women's or girls' suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear).","1","Value","2019","2019",0.008,,
"BRA","Brazil","PRY","Paraguay","6204","6204: Women's or girls' suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear).","1","Value","2020","2020",0.006,,
"BRA","Brazil","PRY","Paraguay","5601","5601: Wadding of textile materials and articles thereof; textile fibres, not exceeding 5 mm in length (flock), textile dust and mill neps.","1","Value","2015","2015",0.016,,
"BRA","Brazil","PRY","Paraguay","5601","5601: Wadding of textile materials and articles thereof; textile fibres, not exceeding 5 mm in length (flock), textile dust and mill neps.","1","Value","2016","2016",0.012,,
"BRA","Brazil","PRY","Paraguay","5601","5601: Wadding of textile materials and articles thereof; textile fibres, not exceeding 5 mm in length (flock), textile dust and mill neps.","1","Value","2017","2017",0.012,,
"BRA","Brazil","PRY","Paraguay","5601","5601: Wadding of textile materials and articles thereof; textile fibres, not exceeding 5 mm in length (flock), textile dust and mill neps.","1","Value","2018","2018",0.014,,
"BRA","Brazil","PRY","Paraguay","5601","5601: Wadding of textile materials and articles thereof; textile fibres, not exceeding 5 mm in length (flock), textile dust and mill neps.","1","Value","2019","2019",0.016,,
"BRA","Brazil","PRY","Paraguay","5601","5601: Wadding of textile materials and articles thereof; textile fibres, not exceeding 5 mm in length (flock), textile dust and mill neps.","1","Value","2020","2020",0.018,,
"BRA","Brazil","PRY","Paraguay","1514","1514: Rape, colza or mustard oil and fractions thereof, whether or not refined, but not chemically modified.","1","Value","2015","2015",0.042,,
"BRA","Brazil","PRY","Paraguay","1514","1514: Rape, colza or mustard oil and fractions thereof, whether or not refined, but not chemically modified.","1","Value","2016","2016",0.042,,
"BRA","Brazil","PRY","Paraguay","1514","1514: Rape, colza or mustard oil and fractions thereof, whether or not refined, but not chemically modified.","1","Value","2017","2017",0.043,,
"BRA","Brazil","PRY","Paraguay","1514","1514: Rape, colza or mustard oil and fractions thereof, whether or not refined, but not chemically modified.","1","Value","2018","2018",0.042,,
"BRA","Brazil","PRY","Paraguay","1514","1514: Rape, colza or mustard oil and fractions thereof, whether or not refined, but not chemically modified.","1","Value","2019","2019",0.04,,
"BRA","Brazil","PRY","Paraguay","1514","1514: Rape, colza or mustard oil and fractions thereof, whether or not refined, but not chemically modified.","1","Value","2020","2020",0.038,,
"BRA","Brazil","PRY","Paraguay","3214","3214: Glaziers' putty, grafting putty, resin cements, caulking compounds and other mastics; painters' fillings; non-refractory surfacing preparations for fatades, indoor walls, floors, ceilings or the like.","1","Value","2015","2015",0.038,,
"BRA","Brazil","PRY","Paraguay","3214","3214: Glaziers' putty, grafting putty, resin cements, caulking compounds and other mastics; painters' fillings; non-refractory surfacing preparations for fatades, indoor walls, floors, ceilings or the like.","1","Value","2016","2016",0.038,,
"BRA","Brazil","PRY","Paraguay","3214","3214: Glaziers' putty, grafting putty, resin cements, caulking compounds and other mastics; painters' fillings; non-refractory surfacing preparations for fatades, indoor walls, floors, ceilings or the like.","1","Value","2017","2017",0.038,,
"BRA","Brazil","PRY","Paraguay","3214","3214: Glaziers' putty, grafting putty, resin cements, caulking compounds and other mastics; painters' fillings; non-refractory surfacing preparations for fatades, indoor walls, floors, ceilings or the like.","1","Value","2018","2018",0.039,,
"BRA","Brazil","PRY","Paraguay","3214","3214: Glaziers' putty, grafting putty, resin cements, caulking compounds and other mastics; painters' fillings; non-refractory surfacing preparations for fatades, indoor walls, floors, ceilings or the like.","1","Value","2019","2019",0.039,,
"BRA","Brazil","PRY","Paraguay","3214","3214: Glaziers' putty, grafting putty, resin cements, caulking compounds and other mastics; painters' fillings; non-refractory surfacing preparations for fatades, indoor walls, floors, ceilings or the like.","1","Value","2020","2020",0.038,,
"BRA","Brazil","PRY","Paraguay","5404","5404: Synthetic monofilament of 67 decitex or more and of which no cross-sectional dimension exceeds 1 mm; strip and the like (for example, artificial straw) of synthetic textile materials of an apparent width not exceeding 5 mm.","1","Value","2015","2015",0.011,,
"BRA","Brazil","PRY","Paraguay","5404","5404: Synthetic monofilament of 67 decitex or more and of which no cross-sectional dimension exceeds 1 mm; strip and the like (for example, artificial straw) of synthetic textile materials of an apparent width not exceeding 5 mm.","1","Value","2016","2016",0.004,,
"BRA","Brazil","PRY","Paraguay","5404","5404: Synthetic monofilament of 67 decitex or more and of which no cross-sectional dimension exceeds 1 mm; strip and the like (for example, artificial straw) of synthetic textile materials of an apparent width not exceeding 5 mm.","1","Value","2017","2017",0.003,,
"BRA","Brazil","PRY","Paraguay","5404","5404: Synthetic monofilament of 67 decitex or more and of which no cross-sectional dimension exceeds 1 mm; strip and the like (for example, artificial straw) of synthetic textile materials of an apparent width not exceeding 5 mm.","1","Value","2018","2018",0.005,,
"BRA","Brazil","PRY","Paraguay","5404","5404: Synthetic monofilament of 67 decitex or more and of which no cross-sectional dimension exceeds 1 mm; strip and the like (for example, artificial straw) of synthetic textile materials of an apparent width not exceeding 5 mm.","1","Value","2019","2019",0.007,,
"BRA","Brazil","PRY","Paraguay","5404","5404: Synthetic monofilament of 67 decitex or more and of which no cross-sectional dimension exceeds 1 mm; strip and the like (for example, artificial straw) of synthetic textile materials of an apparent width not exceeding 5 mm.","1","Value","2020","2020",0.01,,
"BRA","Brazil","PRY","Paraguay","3301","3301: Essential oils (terpeneless or not), including concretes and absolutes; resinoids; extracted oleoresins; concentrates of essential oils in fats, in fixed oils, in waxes or the like, obtained by enfleurage or maceration; terpenic by-products of the d","1","Value","2015","2015",0.015,,
"BRA","Brazil","PRY","Paraguay","3301","3301: Essential oils (terpeneless or not), including concretes and absolutes; resinoids; extracted oleoresins; concentrates of essential oils in fats, in fixed oils, in waxes or the like, obtained by enfleurage or maceration; terpenic by-products of the d","1","Value","2016","2016",0.009,,
"BRA","Brazil","PRY","Paraguay","3301","3301: Essential oils (terpeneless or not), including concretes and absolutes; resinoids; extracted oleoresins; concentrates of essential oils in fats, in fixed oils, in waxes or the like, obtained by enfleurage or maceration; terpenic by-products of the d","1","Value","2017","2017",0.012,,
"BRA","Brazil","PRY","Paraguay","3301","3301: Essential oils (terpeneless or not), including concretes and absolutes; resinoids; extracted oleoresins; concentrates of essential oils in fats, in fixed oils, in waxes or the like, obtained by enfleurage or maceration; terpenic by-products of the d","1","Value","2018","2018",0.016,,
"BRA","Brazil","PRY","Paraguay","3301","3301: Essential oils (terpeneless or not), including concretes and absolutes; resinoids; extracted oleoresins; concentrates of essential oils in fats, in fixed oils, in waxes or the like, obtained by enfleurage or maceration; terpenic by-products of the d","1","Value","2019","2019",0.02,,
"BRA","Brazil","PRY","Paraguay","3301","3301: Essential oils (terpeneless or not), including concretes and absolutes; resinoids; extracted oleoresins; concentrates of essential oils in fats, in fixed oils, in waxes or the like, obtained by enfleurage or maceration; terpenic by-products of the d","1","Value","2020","2020",0.024,,
"BRA","Brazil","PRY","Paraguay","4408","4408: Sheets for veneering (including those obtained by slicing laminated wood), for plywood or for similar laminated wood and other wood, sawn lengthwise, sliced or peeled, whether or not planed, sanded, spliced or end-jointed, of a thickness not exceedi","1","Value","2015","2015",0.03,,
"BRA","Brazil","PRY","Paraguay","4408","4408: Sheets for veneering (including those obtained by slicing laminated wood), for plywood or for similar laminated wood and other wood, sawn lengthwise, sliced or peeled, whether or not planed, sanded, spliced or end-jointed, of a thickness not exceedi","1","Value","2016","2016",0.047,,
"BRA","Brazil","PRY","Paraguay","4408","4408: Sheets for veneering (including those obtained by slicing laminated wood), for plywood or for similar laminated wood and other wood, sawn lengthwise, sliced or peeled, whether or not planed, sanded, spliced or end-jointed, of a thickness not exceedi","1","Value","2017","2017",0.039,,
"BRA","Brazil","PRY","Paraguay","4408","4408: Sheets for veneering (including those obtained by slicing laminated wood), for plywood or for similar laminated wood and other wood, sawn lengthwise, sliced or peeled, whether or not planed, sanded, spliced or end-jointed, of a thickness not exceedi","1","Value","2018","2018",0.042,,
"BRA","Brazil","PRY","Paraguay","4408","4408: Sheets for veneering (including those obtained by slicing laminated wood), for plywood or for similar laminated wood and other wood, sawn lengthwise, sliced or peeled, whether or not planed, sanded, spliced or end-jointed, of a thickness not exceedi","1","Value","2019","2019",0.044,,
"BRA","Brazil","PRY","Paraguay","4408","4408: Sheets for veneering (including those obtained by slicing laminated wood), for plywood or for similar laminated wood and other wood, sawn lengthwise, sliced or peeled, whether or not planed, sanded, spliced or end-jointed, of a thickness not exceedi","1","Value","2020","2020",0.047,,
"BRA","Brazil","PRY","Paraguay","9405","9405: Lamps and lighting fittings including searchlights and spotlights and parts thereof, not elsewhere specified or included; illuminated signs, illuminated name-plates and the like, having a permanently fixed light source, and parts thereof not elsewhe","1","Value","2015","2015",0.013,,
"BRA","Brazil","PRY","Paraguay","9405","9405: Lamps and lighting fittings including searchlights and spotlights and parts thereof, not elsewhere specified or included; illuminated signs, illuminated name-plates and the like, having a permanently fixed light source, and parts thereof not elsewhe","1","Value","2016","2016",0.006,,
"BRA","Brazil","PRY","Paraguay","9405","9405: Lamps and lighting fittings including searchlights and spotlights and parts thereof, not elsewhere specified or included; illuminated signs, illuminated name-plates and the like, having a permanently fixed light source, and parts thereof not elsewhe","1","Value","2017","2017",0.007,,
"BRA","Brazil","PRY","Paraguay","9405","9405: Lamps and lighting fittings including searchlights and spotlights and parts thereof, not elsewhere specified or included; illuminated signs, illuminated name-plates and the like, having a permanently fixed light source, and parts thereof not elsewhe","1","Value","2018","2018",0.006,,
"BRA","Brazil","PRY","Paraguay","9405","9405: Lamps and lighting fittings including searchlights and spotlights and parts thereof, not elsewhere specified or included; illuminated signs, illuminated name-plates and the like, having a permanently fixed light source, and parts thereof not elsewhe","1","Value","2019","2019",0.005,,
"BRA","Brazil","PRY","Paraguay","9405","9405: Lamps and lighting fittings including searchlights and spotlights and parts thereof, not elsewhere specified or included; illuminated signs, illuminated name-plates and the like, having a permanently fixed light source, and parts thereof not elsewhe","1","Value","2020","2020",0.004,,
"BRA","Brazil","PRY","Paraguay","4104","4104: Tanned or crust hides and skins of bovine (including buffalo) or equine animals, without hair on, whether or not split, but not further prepared.","1","Value","2015","2015",0.017,,
"BRA","Brazil","PRY","Paraguay","4104","4104: Tanned or crust hides and skins of bovine (including buffalo) or equine animals, without hair on, whether or not split, but not further prepared.","1","Value","2016","2016",0.023,,
"BRA","Brazil","PRY","Paraguay","4104","4104: Tanned or crust hides and skins of bovine (including buffalo) or equine animals, without hair on, whether or not split, but not further prepared.","1","Value","2017","2017",0.031,,
"BRA","Brazil","PRY","Paraguay","4104","4104: Tanned or crust hides and skins of bovine (including buffalo) or equine animals, without hair on, whether or not split, but not further prepared.","1","Value","2018","2018",0.035,,
"BRA","Brazil","PRY","Paraguay","4104","4104: Tanned or crust hides and skins of bovine (including buffalo) or equine animals, without hair on, whether or not split, but not further prepared.","1","Value","2019","2019",0.038,,
"BRA","Brazil","PRY","Paraguay","4104","4104: Tanned or crust hides and skins of bovine (including buffalo) or equine animals, without hair on, whether or not split, but not further prepared.","1","Value","2020","2020",0.042,,
"BRA","Brazil","PRY","Paraguay","7207","7207: Semi-finished products of iron or non-alloy steel.","1","Value","2015","2015",0.043,,
"BRA","Brazil","PRY","Paraguay","7207","7207: Semi-finished products of iron or non-alloy steel.","1","Value","2016","2016",0.043,,
"BRA","Brazil","PRY","Paraguay","7207","7207: Semi-finished products of iron or non-alloy steel.","1","Value","2017","2017",0.043,,
"BRA","Brazil","PRY","Paraguay","7207","7207: Semi-finished products of iron or non-alloy steel.","1","Value","2018","2018",0.044,,
"BRA","Brazil","PRY","Paraguay","7207","7207: Semi-finished products of iron or non-alloy steel.","1","Value","2019","2019",0.043,,
"BRA","Brazil","PRY","Paraguay","7207","7207: Semi-finished products of iron or non-alloy steel.","1","Value","2020","2020",0.043,,
"BRA","Brazil","PRY","Paraguay","1212","1212: Locust beans, seaweeds and other algae, sugar beet and sugar cane, fresh, chilled, frozen or dried, whether or not ground; fruit stones and kernels and other vegetable products (including unroasted chicory roots of the variety Cichorium intybus sati","1","Value","2015","2015",0.021,,
"BRA","Brazil","PRY","Paraguay","1212","1212: Locust beans, seaweeds and other algae, sugar beet and sugar cane, fresh, chilled, frozen or dried, whether or not ground; fruit stones and kernels and other vegetable products (including unroasted chicory roots of the variety Cichorium intybus sati","1","Value","2016","2016",0.024,,
"BRA","Brazil","PRY","Paraguay","1212","1212: Locust beans, seaweeds and other algae, sugar beet and sugar cane, fresh, chilled, frozen or dried, whether or not ground; fruit stones and kernels and other vegetable products (including unroasted chicory roots of the variety Cichorium intybus sati","1","Value","2017","2017",0.021,,
"BRA","Brazil","PRY","Paraguay","1212","1212: Locust beans, seaweeds and other algae, sugar beet and sugar cane, fresh, chilled, frozen or dried, whether or not ground; fruit stones and kernels and other vegetable products (including unroasted chicory roots of the variety Cichorium intybus sati","1","Value","2018","2018",0.024,,
"BRA","Brazil","PRY","Paraguay","1212","1212: Locust beans, seaweeds and other algae, sugar beet and sugar cane, fresh, chilled, frozen or dried, whether or not ground; fruit stones and kernels and other vegetable products (including unroasted chicory roots of the variety Cichorium intybus sati","1","Value","2019","2019",0.027,,
"BRA","Brazil","PRY","Paraguay","1212","1212: Locust beans, seaweeds and other algae, sugar beet and sugar cane, fresh, chilled, frozen or dried, whether or not ground; fruit stones and kernels and other vegetable products (including unroasted chicory roots of the variety Cichorium intybus sati","1","Value","2020","2020",0.03,,
"BRA","Brazil","PRY","Paraguay","3910","3910: Silicones in primary forms.","1","Value","2015","2015",0.025,,
"BRA","Brazil","PRY","Paraguay","3910","3910: Silicones in primary forms.","1","Value","2016","2016",0.024,,
