"REPORTER","Reporter Country","PARTNER","Partner Country","COM_H3","Commodity","MEASURE","Measure","TIME","Time","Value","Flag Codes","Flags"
"PRY","Paraguay","BRA","Brazil","3803","3803: Tall oil, whether or not refined.","1","Value","2015","2015",0.044,,
"PRY","Paraguay","BRA","Brazil","3803","3803: Tall oil, whether or not refined.","1","Value","2016","2016",0.042,,
"PRY","Paraguay","BRA","Brazil","3803","3803: Tall oil, whether or not refined.","1","Value","2017","2017",0.04,,
"PRY","Paraguay","BRA","Brazil","3803","3803: Tall oil, whether or not refined.","1","Value","2018","2018",0.045,,
"PRY","Paraguay","BRA","Brazil","3803","3803: Tall oil, whether or not refined.","1","Value","2019","2019",0.042,,
"PRY","Paraguay","BRA","Brazil","3803","3803: Tall oil, whether or not refined.","2","Method used","2015","2015",7,,
"PRY","Paraguay","BRA","Brazil","3803","3803: Tall oil, whether or not refined.","2","Method used","2016","2016",8,,
"PRY","Paraguay","BRA","Brazil","3803","3803: Tall oil, whether or not refined.","2","Method used","2017","2017",7,,
"PRY","Paraguay","BRA","Brazil","3803","3803: Tall oil, whether or not refined.","2","Method used","2018","2018",7,,
"PRY","Paraguay","BRA","Brazil","3803","3803: Tall oil, whether or not refined.","2","Method used","2019","2019",10,,
"PRY","Paraguay","BRA","Brazil","2848","2848: Phosphides, whether or not chemically defined, excluding ferrophosphorus.","1","Value","2015","2015",0.11,,
"PRY","Paraguay","BRA","Brazil","2848","2848: Phosphides, whether or not chemically defined, excluding ferrophosphorus.","1","Value","2016","2016",0.108,,
"PRY","Paraguay","BRA","Brazil","2848","2848: Phosphides, whether or not chemically defined, excluding ferrophosphorus.","1","Value","2017","2017",0.107,,
"PRY","Paraguay","BRA","Brazil","2848","2848: Phosphides, whether or not chemically defined, excluding ferrophosphorus.","1","Value","2018","2018",0.143,,
"PRY","Paraguay","BRA","Brazil","2848","2848: Phosphides, whether or not chemically defined, excluding ferrophosphorus.","1","Value","2019","2019",0.138,,
"PRY","Paraguay","BRA","Brazil","2848","2848: Phosphides, whether or not chemically defined, excluding ferrophosphorus.","2","Method used","2015","2015",7,,
"PRY","Paraguay","BRA","Brazil","2848","2848: Phosphides, whether or not chemically defined, excluding ferrophosphorus.","2","Method used","2016","2016",8,,
"PRY","Paraguay","BRA","Brazil","2848","2848: Phosphides, whether or not chemically defined, excluding ferrophosphorus.","2","Method used","2017","2017",7,,
"PRY","Paraguay","BRA","Brazil","2848","2848: Phosphides, whether or not chemically defined, excluding ferrophosphorus.","2","Method used","2018","2018",7,,
"PRY","Paraguay","BRA","Brazil","2848","2848: Phosphides, whether or not chemically defined, excluding ferrophosphorus.","2","Method used","2019","2019",10,,
"PRY","Paraguay","BRA","Brazil","1511","1511: Palm oil and its fractions, whether or not refined, but not chemically modified.","1","Value","2015","2015",0.018,,
"PRY","Paraguay","BRA","Brazil","1511","1511: Palm oil and its fractions, whether or not refined, but not chemically modified.","1","Value","2016","2016",0.028,,
"PRY","Paraguay","BRA","Brazil","1511","1511: Palm oil and its fractions, whether or not refined, but not chemically modified.","1","Value","2017","2017",0.039,,
"PRY","Paraguay","BRA","Brazil","1511","1511: Palm oil and its fractions, whether or not refined, but not chemically modified.","1","Value","2018","2018",0.02,,
"PRY","Paraguay","BRA","Brazil","1511","1511: Palm oil and its fractions, whether or not refined, but not chemically modified.","1","Value","2019","2019",0.02,,
"PRY","Paraguay","BRA","Brazil","5501","5501: Synthetic filament tow.","1","Value","2015","2015",0.178,,
"PRY","Paraguay","BRA","Brazil","5501","5501: Synthetic filament tow.","1","Value","2016","2016",0.095,,
"PRY","Paraguay","BRA","Brazil","5501","5501: Synthetic filament tow.","1","Value","2017","2017",0.013,,
"PRY","Paraguay","BRA","Brazil","5501","5501: Synthetic filament tow.","1","Value","2018","2018",0.013,,
"PRY","Paraguay","BRA","Brazil","5501","5501: Synthetic filament tow.","1","Value","2019","2019",0.013,,
"PRY","Paraguay","BRA","Brazil","8803","8803: Parts of goods of heading 88.01 or 88.02.","1","Value","2015","2015",0.051,,
"PRY","Paraguay","BRA","Brazil","8803","8803: Parts of goods of heading 88.01 or 88.02.","1","Value","2016","2016",0.063,,
"PRY","Paraguay","BRA","Brazil","8803","8803: Parts of goods of heading 88.01 or 88.02.","1","Value","2017","2017",0.075,,
"PRY","Paraguay","BRA","Brazil","8803","8803: Parts of goods of heading 88.01 or 88.02.","1","Value","2018","2018",0.085,,
"PRY","Paraguay","BRA","Brazil","8803","8803: Parts of goods of heading 88.01 or 88.02.","1","Value","2019","2019",0.084,,
"PRY","Paraguay","BRA","Brazil","2938","2938: Glycosides, natural or reproduced by synthesis, and their salts, ethers, esters and other derivatives.","1","Value","2015","2015",0.079,,
"PRY","Paraguay","BRA","Brazil","2938","2938: Glycosides, natural or reproduced by synthesis, and their salts, ethers, esters and other derivatives.","1","Value","2016","2016",0.091,,
"PRY","Paraguay","BRA","Brazil","2938","2938: Glycosides, natural or reproduced by synthesis, and their salts, ethers, esters and other derivatives.","1","Value","2017","2017",0.103,,
"PRY","Paraguay","BRA","Brazil","2938","2938: Glycosides, natural or reproduced by synthesis, and their salts, ethers, esters and other derivatives.","1","Value","2018","2018",0.115,,
"PRY","Paraguay","BRA","Brazil","2938","2938: Glycosides, natural or reproduced by synthesis, and their salts, ethers, esters and other derivatives.","1","Value","2019","2019",0.114,,
"PRY","Paraguay","BRA","Brazil","8522","8522: Parts and accessories suitable for use solely or principally with the apparatus of headings 85.19 to 85.21.","1","Value","2015","2015",0.126,,
"PRY","Paraguay","BRA","Brazil","8522","8522: Parts and accessories suitable for use solely or principally with the apparatus of headings 85.19 to 85.21.","1","Value","2016","2016",0.121,,
"PRY","Paraguay","BRA","Brazil","8522","8522: Parts and accessories suitable for use solely or principally with the apparatus of headings 85.19 to 85.21.","1","Value","2017","2017",0.117,,
"PRY","Paraguay","BRA","Brazil","8522","8522: Parts and accessories suitable for use solely or principally with the apparatus of headings 85.19 to 85.21.","1","Value","2018","2018",0.113,,
"PRY","Paraguay","BRA","Brazil","8522","8522: Parts and accessories suitable for use solely or principally with the apparatus of headings 85.19 to 85.21.","1","Value","2019","2019",0.112,,
"PRY","Paraguay","BRA","Brazil","4004","4004: Waste, parings and scrap of rubber (other than hard rubber) and powders and granules obtained therefrom.","1","Value","2015","2015",0.255,,
"PRY","Paraguay","BRA","Brazil","4004","4004: Waste, parings and scrap of rubber (other than hard rubber) and powders and granules obtained therefrom.","1","Value","2016","2016",0.253,,
"PRY","Paraguay","BRA","Brazil","4004","4004: Waste, parings and scrap of rubber (other than hard rubber) and powders and granules obtained therefrom.","1","Value","2017","2017",0.252,,
"PRY","Paraguay","BRA","Brazil","4004","4004: Waste, parings and scrap of rubber (other than hard rubber) and powders and granules obtained therefrom.","1","Value","2018","2018",0.256,,
"PRY","Paraguay","BRA","Brazil","4004","4004: Waste, parings and scrap of rubber (other than hard rubber) and powders and granules obtained therefrom.","1","Value","2019","2019",0.255,,
"PRY","Paraguay","BRA","Brazil","8104","8104: Magnesium and articles thereof, including waste and scrap.","1","Value","2015","2015",0.174,,
"PRY","Paraguay","BRA","Brazil","8104","8104: Magnesium and articles thereof, including waste and scrap.","1","Value","2016","2016",0.172,,
"PRY","Paraguay","BRA","Brazil","8104","8104: Magnesium and articles thereof, including waste and scrap.","1","Value","2017","2017",0.171,,
"PRY","Paraguay","BRA","Brazil","8104","8104: Magnesium and articles thereof, including waste and scrap.","1","Value","2018","2018",0.176,,
"PRY","Paraguay","BRA","Brazil","8104","8104: Magnesium and articles thereof, including waste and scrap.","1","Value","2019","2019",0.175,,
"PRY","Paraguay","BRA","Brazil","5501","5501: Synthetic filament tow.","2","Method used","2015","2015",2,,
"PRY","Paraguay","BRA","Brazil","5501","5501: Synthetic filament tow.","2","Method used","2016","2016",3,,
"PRY","Paraguay","BRA","Brazil","5501","5501: Synthetic filament tow.","2","Method used","2017","2017",2,,
"PRY","Paraguay","BRA","Brazil","5501","5501: Synthetic filament tow.","2","Method used","2018","2018",5,,
"PRY","Paraguay","BRA","Brazil","5501","5501: Synthetic filament tow.","2","Method used","2019","2019",5,,
"PRY","Paraguay","BRA","Brazil","1511","1511: Palm oil and its fractions, whether or not refined, but not chemically modified.","2","Method used","2015","2015",2,,
"PRY","Paraguay","BRA","Brazil","1511","1511: Palm oil and its fractions, whether or not refined, but not chemically modified.","2","Method used","2016","2016",3,,
"PRY","Paraguay","BRA","Brazil","1511","1511: Palm oil and its fractions, whether or not refined, but not chemically modified.","2","Method used","2017","2017",2,,
"PRY","Paraguay","BRA","Brazil","1511","1511: Palm oil and its fractions, whether or not refined, but not chemically modified.","2","Method used","2018","2018",2,,
"PRY","Paraguay","BRA","Brazil","1511","1511: Palm oil and its fractions, whether or not refined, but not chemically modified.","2","Method used","2019","2019",5,,
"PRY","Paraguay","BRA","Brazil","2938","2938: Glycosides, natural or reproduced by synthesis, and their salts, ethers, esters and other derivatives.","2","Method used","2015","2015",2,,
"PRY","Paraguay","BRA","Brazil","2938","2938: Glycosides, natural or reproduced by synthesis, and their salts, ethers, esters and other derivatives.","2","Method used","2016","2016",3,,
"PRY","Paraguay","BRA","Brazil","2938","2938: Glycosides, natural or reproduced by synthesis, and their salts, ethers, esters and other derivatives.","2","Method used","2017","2017",3,,
"PRY","Paraguay","BRA","Brazil","2938","2938: Glycosides, natural or reproduced by synthesis, and their salts, ethers, esters and other derivatives.","2","Method used","2018","2018",2,,
"PRY","Paraguay","BRA","Brazil","2938","2938: Glycosides, natural or reproduced by synthesis, and their salts, ethers, esters and other derivatives.","2","Method used","2019","2019",5,,
"PRY","Paraguay","BRA","Brazil","8803","8803: Parts of goods of heading 88.01 or 88.02.","2","Method used","2015","2015",3,,
"PRY","Paraguay","BRA","Brazil","8803","8803: Parts of goods of heading 88.01 or 88.02.","2","Method used","2016","2016",3,,
"PRY","Paraguay","BRA","Brazil","8803","8803: Parts of goods of heading 88.01 or 88.02.","2","Method used","2017","2017",2,,
"PRY","Paraguay","BRA","Brazil","8803","8803: Parts of goods of heading 88.01 or 88.02.","2","Method used","2018","2018",2,,
"PRY","Paraguay","BRA","Brazil","8803","8803: Parts of goods of heading 88.01 or 88.02.","2","Method used","2019","2019",5,,
"PRY","Paraguay","BRA","Brazil","8522","8522: Parts and accessories suitable for use solely or principally with the apparatus of headings 85.19 to 85.21.","2","Method used","2015","2015",3,,
"PRY","Paraguay","BRA","Brazil","8522","8522: Parts and accessories suitable for use solely or principally with the apparatus of headings 85.19 to 85.21.","2","Method used","2016","2016",3,,
"PRY","Paraguay","BRA","Brazil","8522","8522: Parts and accessories suitable for use solely or principally with the apparatus of headings 85.19 to 85.21.","2","Method used","2017","2017",3,,
"PRY","Paraguay","BRA","Brazil","8522","8522: Parts and accessories suitable for use solely or principally with the apparatus of headings 85.19 to 85.21.","2","Method used","2018","2018",2,,
"PRY","Paraguay","BRA","Brazil","8522","8522: Parts and accessories suitable for use solely or principally with the apparatus of headings 85.19 to 85.21.","2","Method used","2019","2019",5,,
"PRY","Paraguay","BRA","Brazil","8104","8104: Magnesium and articles thereof, including waste and scrap.","2","Method used","2015","2015",5,,
"PRY","Paraguay","BRA","Brazil","8104","8104: Magnesium and articles thereof, including waste and scrap.","2","Method used","2016","2016",5,,
"PRY","Paraguay","BRA","Brazil","8104","8104: Magnesium and articles thereof, including waste and scrap.","2","Method used","2017","2017",5,,
"PRY","Paraguay","BRA","Brazil","8104","8104: Magnesium and articles thereof, including waste and scrap.","2","Method used","2018","2018",5,,
"PRY","Paraguay","BRA","Brazil","8104","8104: Magnesium and articles thereof, including waste and scrap.","2","Method used","2019","2019",5,,
"PRY","Paraguay","BRA","Brazil","4004","4004: Waste, parings and scrap of rubber (other than hard rubber) and powders and granules obtained therefrom.","2","Method used","2015","2015",2,,
"PRY","Paraguay","BRA","Brazil","4004","4004: Waste, parings and scrap of rubber (other than hard rubber) and powders and granules obtained therefrom.","2","Method used","2016","2016",5,,
"PRY","Paraguay","BRA","Brazil","4004","4004: Waste, parings and scrap of rubber (other than hard rubber) and powders and granules obtained therefrom.","2","Method used","2017","2017",5,,
"PRY","Paraguay","BRA","Brazil","4004","4004: Waste, parings and scrap of rubber (other than hard rubber) and powders and granules obtained therefrom.","2","Method used","2018","2018",5,,
"PRY","Paraguay","BRA","Brazil","4004","4004: Waste, parings and scrap of rubber (other than hard rubber) and powders and granules obtained therefrom.","2","Method used","2019","2019",5,,
"PRY","Paraguay","BRA","Brazil","8439","8439: Machinery for making pulp of fibrous cellulosic material or for making or finishing paper or paperboard.","1","Value","2015","2015",0.049,,
"PRY","Paraguay","BRA","Brazil","8439","8439: Machinery for making pulp of fibrous cellulosic material or for making or finishing paper or paperboard.","1","Value","2016","2016",0.037,,
"PRY","Paraguay","BRA","Brazil","8439","8439: Machinery for making pulp of fibrous cellulosic material or for making or finishing paper or paperboard.","1","Value","2017","2017",0.025,,
"PRY","Paraguay","BRA","Brazil","8439","8439: Machinery for making pulp of fibrous cellulosic material or for making or finishing paper or paperboard.","1","Value","2018","2018",0.034,,
"PRY","Paraguay","BRA","Brazil","8439","8439: Machinery for making pulp of fibrous cellulosic material or for making or finishing paper or paperboard.","1","Value","2019","2019",0.028,,
"PRY","Paraguay","BRA","Brazil","0410","0410: Edible products of animal origin, not elsewhere specified or included.","1","Value","2015","2015",0.049,,
"PRY","Paraguay","BRA","Brazil","0410","0410: Edible products of animal origin, not elsewhere specified or included.","1","Value","2016","2016",0.049,,
"PRY","Paraguay","BRA","Brazil","0410","0410: Edible products of animal origin, not elsewhere specified or included.","1","Value","2017","2017",0.048,,
"PRY","Paraguay","BRA","Brazil","0410","0410: Edible products of animal origin, not elsewhere specified or included.","1","Value","2018","2018",0.05,,
"PRY","Paraguay","BRA","Brazil","0410","0410: Edible products of animal origin, not elsewhere specified or included.","1","Value","2019","2019",0.049,,
"PRY","Paraguay","BRA","Brazil","7105","7105: Dust and powder of natural or synthetic precious or semi-precious stones.","1","Value","2015","2015",0.088,,
"PRY","Paraguay","BRA","Brazil","7105","7105: Dust and powder of natural or synthetic precious or semi-precious stones.","1","Value","2016","2016",0.087,,
"PRY","Paraguay","BRA","Brazil","7105","7105: Dust and powder of natural or synthetic precious or semi-precious stones.","1","Value","2017","2017",0.086,,
"PRY","Paraguay","BRA","Brazil","7105","7105: Dust and powder of natural or synthetic precious or semi-precious stones.","1","Value","2018","2018",0.089,,
"PRY","Paraguay","BRA","Brazil","7105","7105: Dust and powder of natural or synthetic precious or semi-precious stones.","1","Value","2019","2019",0.088,,
"PRY","Paraguay","BRA","Brazil","7901","7901: Unwrought zinc.","1","Value","2015","2015",0.058,,
"PRY","Paraguay","BRA","Brazil","7901","7901: Unwrought zinc.","1","Value","2016","2016",0.05,,
"PRY","Paraguay","BRA","Brazil","7901","7901: Unwrought zinc.","1","Value","2017","2017",0.042,,
"PRY","Paraguay","BRA","Brazil","7901","7901: Unwrought zinc.","1","Value","2018","2018",0.044,,
"PRY","Paraguay","BRA","Brazil","7901","7901: Unwrought zinc.","1","Value","2019","2019",0.043,,
"PRY","Paraguay","BRA","Brazil","5311","5311: Woven fabrics of other vegetable textile fibres; woven fabrics of paper yarn.","1","Value","2015","2015",0.058,,
