reporter,year,hs_code,applied_tariff,commodity
Brazil,2023,10121,0.0,Pure-bred breeding horses
Brazil,2023,10129,0.0,Live horses (excl. pure-bred for breeding)
Brazil,2023,10130,3.2,Live asses
Brazil,2023,10190,3.2,Live mules and hinnies
Brazil,2023,10221,0.0,Pure-bred cattle for breeding
Brazil,2023,10229,0.0,Live cattle (excl. pure-bred for breeding)
Brazil,2023,10231,0.0,Pure-bred buffalo for breeding
Brazil,2023,10239,0.0,Live buffalo (excl. pure-bred for breeding)
Brazil,2023,10290,0.0,Live bovine animals (excl. cattle and buffalo)
Brazil,2023,10310,0.0,Pure-bred breeding swine
Brazil,2023,10391,0.0,"Live pure-bred swine, weighing < 50 kg (excl. pure-bred for breeding)"
Brazil,2023,10392,0.0,"Live pure-bred swine, weighing >= 50 kg (excl. pure-bred for breeding)"
Brazil,2023,10410,0.0,Live sheep
Brazil,2023,10420,0.0,Live goats
Brazil,2023,10511,0.0,"Live fowls of the species Gallus domesticus, weighing <= 185 g (excl. turkeys and guinea fowls)"
Brazil,2023,10512,0.0,"Live domestic turkeys, weighing <= 185 g"
Brazil,2023,10513,0.0,"Live domestic ducks, weighing <= 185 g"
Brazil,2023,10514,0.0,"Live domestic geese, weighing <= 185 g"
Brazil,2023,10515,0.0,"Live domestic guinea fowls, weighing <= 185 g"
Brazil,2023,10594,3.2,"Live fowls of the species Gallus domesticus, weighing > 185"
Brazil,2023,10599,3.2,"Live domestic ducks, geese, turkeys and guinea fowls, weighing > 185 g"
Brazil,2023,10611,3.2,Live primates
Brazil,2023,10612,3.2,"Live whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
Brazil,2023,10613,3.2,Live camels and other camelids [Camelidae]
Brazil,2023,10614,3.2,Live rabbits and hares
Brazil,2023,10619,3.2,"Live mammals (excl. primates, whales, dolphins and porpoises, manatees and dugongs, seals, sea lions and walruses, camels and other camelids, rabbits and hares, horses, asses, mules, hinnies, bovines, pigs, sheep and goats)"
Brazil,2023,10620,3.2,"Live reptiles ""e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards"""
Brazil,2023,10631,3.2,Live birds of prey
Brazil,2023,10632,3.2,"Live psittaciformes ""incl. parrots, parrakeets, macaws and cockatoos"""
Brazil,2023,10633,1.6,"Live ostriches, and emus [Dromaius novaehollandiae]"
Brazil,2023,10639,3.2,"Live birds (excl. birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ostriches and emus)"
Brazil,2023,10641,3.2,Live bees
Brazil,2023,10649,3.2,Live insects (excl. bees)
Brazil,2023,10690,3.2,"Live animals (excl. mammals, reptiles, birds, insects, fish, crustaceans, molluscs and other aquatic invertebrates and cultures of micro-organisms, etc.)"
Brazil,2023,20110,8.0,"Carcases or half-carcases of bovine animals, fresh or chilled"
Brazil,2023,20120,8.0,"Fresh or chilled bovine cuts, with bone in (excl. carcases and 1/2 carcases)"
Brazil,2023,20130,9.6,"Fresh or chilled bovine meat, boneless"
Brazil,2023,20210,8.0,Frozen bovine carcases and half-carcases
Brazil,2023,20220,8.0,"Frozen bovine cuts, with bone in (excl. carcases and half-carcases)"
Brazil,2023,20230,9.6,"Frozen, boneless meat of bovine animals"
Brazil,2023,20311,8.0,Fresh or chilled carcases and half-carcases of swine
Brazil,2023,20312,8.0,"Fresh or chilled hams, shoulders and cuts thereof of swine, with bone in"
Brazil,2023,20319,8.0,"Fresh or chilled meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts thereof, with bone in)"
Brazil,2023,20321,8.0,Frozen carcases and half-carcases of swine
Brazil,2023,20322,8.0,"Frozen hams, shoulders and cuts thereof of swine, with bone in"
Brazil,2023,20329,8.0,"Frozen meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts thereof, with bone in)"
Brazil,2023,20410,8.0,Fresh or chilled lamb carcases and half-carcases
Brazil,2023,20421,8.0,Fresh or chilled sheep carcases and half-carcases (excl. lambs)
Brazil,2023,20422,8.0,"Fresh or chilled cuts of sheep, with bone in (excl. carcases and half-carcases)"
Brazil,2023,20423,8.0,Fresh or chilled boneless cuts of sheep
Brazil,2023,20430,8.0,Frozen lamb carcases and half-carcases
Brazil,2023,20441,8.0,Frozen sheep carcases and half-carcases (excl. lambs)
Brazil,2023,20442,8.0,"Frozen cuts of sheep, with bone in (excl. carcases and half-carcases)"
Brazil,2023,20443,8.0,Frozen boneless cuts of sheep
Brazil,2023,20450,8.0,"Fresh, chilled or frozen meat of goats"
Brazil,2023,20500,8.0,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen"
Brazil,2023,20610,8.0,Fresh or chilled edible offal of bovine animals
Brazil,2023,20621,8.0,Frozen edible bovine tongues
Brazil,2023,20622,8.0,Frozen edible bovine livers
Brazil,2023,20629,8.0,Frozen edible bovine offal (excl. tongues and livers)
Brazil,2023,20630,8.0,Fresh or chilled edible offal of swine
Brazil,2023,20641,8.0,Frozen edible livers of swine
Brazil,2023,20649,8.0,"Edible offal of swine, frozen (excl. livers)"
Brazil,2023,20680,8.0,"Fresh or chilled edible offal of sheep, goats, horses, asses, mules and hinnies"
Brazil,2023,20690,8.0,"Frozen edible offal of sheep, goats, horses, asses, mules and hinnies"
Brazil,2023,20711,8.0,"Fresh or chilled fowls of the species Gallus domesticus, not cut in pieces"
Brazil,2023,20712,8.0,"Frozen fowls of the species Gallus domesticus, not cut in pieces"
Brazil,2023,20713,8.0,Fresh or chilled cuts and edible offal of fowls of the species Gallus domesticus
Brazil,2023,20714,8.0,Frozen cuts and edible offal of fowls of the species Gallus domesticus
Brazil,2023,20724,8.0,"Fresh or chilled turkeys of the species domesticus, not cut in pieces"
Brazil,2023,20725,8.0,"Frozen turkeys of the species domesticus, not cut into pieces"
Brazil,2023,20726,8.0,Fresh or chilled cuts and edible offal of turkeys of the species domesticus
Brazil,2023,20727,8.0,Frozen cuts and edible offal of turkeys of the species domesticus
Brazil,2023,20741,8.0,"Fresh or chilled domestic ducks, not cut in pieces"
Brazil,2023,20742,8.0,"Frozen domestic ducks, not cut in pieces"
Brazil,2023,20743,8.0,"Fatty livers of domestic ducks, fresh or chilled"
Brazil,2023,20744,8.0,Fresh or chilled cuts and edible offal of domestic ducks (excl. fatty livers)
Brazil,2023,20745,8.0,Frozen cuts and edible offal of domestic ducks
Brazil,2023,20751,8.0,"Fresh or chilled domestic geese, not cut in pieces"
Brazil,2023,20752,8.0,"Frozen domestic geese, not cut in pieces"
Brazil,2023,20753,8.0,"Fatty livers of domestic geese, fresh or chilled"
Brazil,2023,20754,8.0,Fresh or chilled cuts and edible offal of domestic geese (excl. fatty livers)
Brazil,2023,20755,8.0,Frozen cuts and edible offal of domestic geese
Brazil,2023,20760,8.0,"Meat and edible offal of domestic guinea fowls, fresh, chilled or frozen"
Brazil,2023,20810,8.0,"Fresh, chilled or frozen meat and edible offal of rabbits or hares"
Brazil,2023,20830,8.0,"Fresh, chilled or frozen meat and edible offal of primates"
