reporter,hs_code,bound_tariff,commodity
Brazil,10110,35.0,Pure-bred breeding horses and asses
Brazil,10190,35.0,"Live horses, asses, mules and hinnies (excl. pure-bred for breeding)"
Brazil,10210,0.0,Pure-bred breeding bovines
Brazil,10290,35.0,Live bovine animals (excl. pure-bred for breeding)
Brazil,10310,0.0,Pure-bred breeding swine
Brazil,10391,35.0,"Live pure-bred swine, weighing < 50 kg (excl. pure-bred for breeding)"
Brazil,10392,35.0,"Live pure-bred swine, weighing >= 50 kg (excl. pure-bred for breeding)"
Brazil,10410,14.0,Live sheep
Brazil,10420,27.5,Live goats
Brazil,10511,0.0,"Live fowls of the species Gallus domesticus, weighing <= 185 g (excl. turkeys and guinea fowls)"
Brazil,10512,0.0,"Live domestic turkeys, weighing <= 185 g"
Brazil,10519,0.0,"Live domestic ducks, geese and guinea fowls, weighing <= 185 g"
Brazil,10592,35.0,"Live fowls of the species Gallus domesticus, weighing > 185 g but <= 2 kg"
Brazil,10593,35.0,"Live fowls of the species Gallus domesticus, weighing > 2 kg"
Brazil,10599,35.0,"Live domestic ducks, geese, turkeys and guinea fowls, weighing > 185 g"
Brazil,10611,35.0,Live primates
Brazil,10612,35.0,"Live whales, dolphins and purpoises ""mammals of the order Cetacea"" and manatees and dugongs ""mammals of the order Sirenia"""
Brazil,10619,35.0,"Live mammals (excl. primates, whales, dolphins and purpoises ""mammals of the order Cetacea"", manatees and dugongs ""mammals of the order Sirenia"" and horses, asses, mules, hinnies, bovines, pigs, sheep and goats)"
Brazil,10620,35.0,"Live reptiles ""e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards"""
Brazil,10631,35.0,Live birds of prey
Brazil,10632,35.0,"Live psittaciformes ""incl. parrots, parrakeets, macaws and cockatoos"""
Brazil,10639,35.0,"Live birds (excl. birds of prey and psittaciformes ""incl. parrots, parrakeets, macaws and cockatoos"")"
Brazil,10690,35.0,"Live animals (excl. mammals, reptiles, birds, fish, crustaceans, molluscs and other aquatic invertebrates and cultures of micro-organisms, etc.)"
Brazil,20110,55.0,"Carcases or half-carcases of bovine animals, fresh or chilled"
Brazil,20120,55.0,"Fresh or chilled bovine cuts, with bone in (excl. carcases and 1/2 carcases)"
Brazil,20130,55.0,"Fresh or chilled bovine meat, boneless"
Brazil,20210,55.0,Frozen bovine carcases and halfcarcases
Brazil,20220,55.0,"Frozen bovine cuts, with bone in (excl. carcases and halfcarcases)"
Brazil,20230,55.0,"Frozen, boneless meat of bovine animals"
Brazil,20311,55.0,Fresh or chilled carcases and half-carcases of swine
Brazil,20312,55.0,"Fresh or chilled hams, shoulders and cuts thereof of swine, with bone in"
Brazil,20319,55.0,"Fresh or chilled meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts thereof, with bone in)"
Brazil,20321,55.0,Frozen carcases and half-carcases of swine
Brazil,20322,55.0,"Frozen hams, shoulders and cuts thereof of swine, boneless"
Brazil,20329,55.0,"Frozen meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts thereof, boneless)"
Brazil,20410,35.0,Fresh or chilled lamb carcases and half-carcases
Brazil,20421,35.0,Fresh or chilled sheep carcases and half-carcases (excl. lambs)
Brazil,20422,35.0,"Fresh or chilled cuts of sheep, with bone in (excl. carcases and half-carcases)"
Brazil,20423,35.0,Fresh or chilled boneless cuts of sheep
Brazil,20430,35.0,Frozen lamb carcases and half-carcases
Brazil,20441,35.0,Frozen sheep carcases and half-carcases (excl. lambs)
Brazil,20442,35.0,"Frozen cuts of sheep, with bone in (excl. carcases and half-carcases)"
Brazil,20443,35.0,Frozen boneless cuts of sheep
Brazil,20450,35.0,"Fresh, chilled or frozen meat of goats"
Brazil,20500,35.0,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen"
Brazil,20610,35.0,Fresh or chilled edible offal of bovine animals
Brazil,20621,35.0,Frozen edible bovine tongues
Brazil,20622,35.0,Frozen edible bovine livers
Brazil,20629,35.0,Frozen edible bovine offal (excl. tongues and livers)
Brazil,20630,35.0,Fresh or chilled edible offal of swine
Brazil,20641,35.0,Frozen edible livers of swine
Brazil,20649,35.0,"Edible offal of swine, frozen (excl. livers)"
Brazil,20680,35.0,"Fresh or chilled edible offal of sheep, goats, horses, asses, mules and hinnies"
Brazil,20690,35.0,"Frozen edible offal of sheep, goats, horses, asses, mules and hinnies"
Brazil,20711,35.0,"Fresh or chilled fowls of the species Gallus domesticus, not cut in pieces"
Brazil,20712,35.0,"Frozen fowls of the species Gallus domesticus, not cut in pieces"
Brazil,20713,35.0,Fresh or chilled cuts and edible offal of fowls of the species Gallus domesticus
Brazil,20714,35.0,Frozen cuts and edible offal of fowls of the species Gallus domesticus
Brazil,20724,35.0,"Fresh or chilled turkeys of the species domesticus, not cut in pieces"
Brazil,20725,35.0,"Frozen turkeys of the species domesticus, not cut into pieces"
Brazil,20726,35.0,Fresh or chilled cuts and edible offal of turkeys of the species domesticus
Brazil,20727,35.0,Frozen cuts and edible offal of turkeys of the species domesticus
Brazil,20732,35.0,"Fresh or chilled ducks, geese and guinea fowls of the species domesticus, not cut into pieces"
Brazil,20733,35.0,"Frozen ducks, geese and guinea fowls of the species domesticus, not cut into pieces"
Brazil,20734,35.0,Fresh or chilled edible fatty livers of ducks or geese of the species domesticus
Brazil,20735,35.0,"Fresh or chilled cuts and edible offal of ducks, geese or guinea fowls of the species domesticus (excl. fatty livers)"
Brazil,20736,35.0,"Frozen cuts and edible offal of ducks, geese or guinea fowls of the species domesticus"
Brazil,20810,35.0,"Fresh, chilled or frozen meat and edible offal of rabbits or hares"
Brazil,20820,35.0,"Fresh, chilled or frozen frogs' legs"
Brazil,20830,35.0,"Fresh, chilled or frozen meat and edible offal of primates"
Brazil,20840,35.0,"Fresh, chilled or frozen meat and edible offal of whales, dolphins and purpoises ""mammals of the order Cetacea"" and of manatees and dugongs ""mammals of the order Sirenia"""
Brazil,20850,35.0,"Fresh, chilled or frozen meat and edible offal of reptiles ""e.g. snakes, turtles, crocodiles"""
Brazil,20890,35.0,"Fresh, chilled or frozen meat and edible offal of pigeons, seals, game, reindeer and other animals (excl. bovine animals, swine, sheep, goats, horses, asses, mules, hinnies, poultry ""fowls of the species Gallus domesticus, ducks, geese, turkeys, guinea fowl"", rabbits, hares, primates, whales, dolphins and purpoises ""mammals of the order Cetacea"", manatees and dugongs ""mammals of the order Sirenia"", reptiles and frogs' legs)"
Brazil,20900,35.0,"Pig fat, free of lean meat, and poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked"
Brazil,21011,35.0,"Hams, shoulders and cuts thereof of swine, salted, in brine, dried or smoked, with bone in"
Brazil,21012,35.0,"Bellies ""streaky"" and cuts thereof of swine, salted, in brine, dried or smoked"
Brazil,21019,35.0,"Meat of swine, salted, in brine, dried or smoked (excl. hams, shoulders and cuts thereof, with bone in, and bellies and cuts thereof)"
Brazil,21020,35.0,"Meat of bovine animals, salted, in brine, dried or smoked"
Brazil,21091,35.0,"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, of primates"
Brazil,21092,35.0,"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, of whales, dolphins and purpoises ""mammals of the order Cetacea"" and manatees and dugongs ""mammals of the order Sirenia"""
Brazil,21093,35.0,"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, of reptiles ""e.g. snakes, turtles, alligators"""
Brazil,21099,35.0,"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal (excl. meat of bovine animals and swine and meat and edible offal of primates, whales, dolphins and purpoises ""mammals of the order Cetacea"", manatees and dugongs ""mammals of the order Sirenia"" and reptiles)"
Brazil,30110,35.0,Live ornamental fish
Brazil,30191,35.0,"Live trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster"""
Brazil,30192,35.0,"Live eels ""Anguilla spp."""
Brazil,30193,35.0,Live carp
Brazil,30199,35.0,"Live fish (excl. ornamental fish, trout [Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster], eels [Anguilla spp.] and carp)"
Brazil,30211,35.0,"Fresh or chilled trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster"""
Brazil,30212,35.0,"Fresh or chilled Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus"", Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho"""
Brazil,30219,35.0,"Fresh or chilled salmonidae (excl. trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster"", Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus"", Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho"")"
Brazil,30221,35.0,"Fresh or chilled lesser or Greenland halibut ""Reinhardtius hippoglossoides, Atlantic halibut ""Hippoglossus hippoglossus"" and Pacific halibut ""Hippoglossus stenolepsis"""
Brazil,30222,35.0,"Fresh or chilled plaice ""Pleuronectes platessa"""
Brazil,30223,35.0,"Fresh or chilled sole ""Solea spp."""
Brazil,30229,35.0,"Fresh or chilled flat fish ""Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Catharidae"" (excl. halibut ""Reinhardtius hippoglossoides, Hippoglossus hippoglossus and Hippoglossus stenolepsis"", plaice ""Pleuronectes platessa"" and sole ""Solea spp."")"
Brazil,30231,35.0,"Fresh or chilled albacore or longfinned tunas ""Thunnus alalunga"""
Brazil,30232,35.0,"Fresh or chilled yellowfin tunas ""Thunnus albacares"""
Brazil,30233,35.0,Fresh or chilled skipjack or stripe-bellied bonito
Brazil,30234,35.0,"Fresh or chilled bigeye tunas ""Thunnus obesus"""
Brazil,30235,35.0,"Fresh or chilled bluefin tunas ""Thunnus thynnus"""
Brazil,30236,35.0,"Fresh or chilled Southern bluefin tunas ""Thunnus maccoyii"""
Brazil,30239,35.0,"Fresh or chilled tunas of the genus ""Thunnus"" (excl. Thunnus alalunga, Thunnus albacares, Thunnus obesus, Thunnus thynnus and Thunnus maccoyii)"
Brazil,30240,35.0,"Fresh or chilled herrings ""Clupea harengus, clupea pallasii"""
Brazil,30250,35.0,"Fresh or chilled cod ""gadus morhua, gadus ogac, gadus macrocephalus"""
Brazil,30261,35.0,"Fresh or chilled sardines ""Sardina pilchardus, Sardinops spp."", sardinella ""Sardinella spp."", brisling or sprats ""Sprattus sprattus"""
Brazil,30262,35.0,"Fresh or chilled haddock ""Melanogrammus aeglefinus"""
Brazil,30263,35.0,"Fresh or chilled coalfish ""Pollachius virens"""
Brazil,30264,35.0,"Fresh or chilled mackerel ""Scomber scombrus, Scomber australasicus, Scomber japonicus"""
Brazil,30265,35.0,Fresh or chilled dogfish and other sharks
Brazil,30266,35.0,"Fresh or chilled eels ""Anguilla spp."""
Brazil,30269,35.0,"Fresh or chilled freshwater and saltwater fish (excl. salmonidae, flat fish, tunas, skipjack or stripe-bellied bonito, herrings, cod, sardines, sardinella, brisling or sprats, haddock, coalfish, mackerel, sharks and eels)"
Brazil,30270,35.0,Fresh or chilled fish livers and roes
Brazil,30311,35.0,"Frozen sockeye salmon [red salmon] ""Oncorhynchus nerka"""
Brazil,30319,35.0,"Frozen Pacific salmon ""Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus"" (excl. sockeye salmon [red salmon] ""Oncorhynchus nerka"")"
Brazil,30321,35.0,"Frozen trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster"""
Brazil,30322,35.0,"Frozen Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho"""
Brazil,30329,35.0,"Frozen salmonidae (excl. Pacific salmon, Atlantic salmon, Danube salmon and trout)"
Brazil,30331,35.0,"Frozen lesser or Greenland halibut ""Reinhardtius hippoglossoides"", Atlantic halibut ""Hippoglossus hippoglossus"" and Pacific halibut ""Hippoglossus stenolepis"""
Brazil,30332,35.0,"Frozen plaice ""Pleuronectes platessa"""
Brazil,30333,35.0,"Frozen sole ""Solea spp."""
Brazil,30339,35.0,"Frozen flat fish ""Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae und Citharidae"" (excl. halibut, plaice and sole)"
Brazil,30341,35.0,"Frozen albacore or longfinned tunas ""Thunnus alalunga"""
Brazil,30342,35.0,"Frozen yellowfin tunas ""Thunnus albacares"""
Brazil,30343,35.0,"Frozen skipjack or stripe-bellied bonito ""Euthynnus -Katsuwonus- pelamis"""
Brazil,30344,35.0,"Frozen bigeye tunas ""Thunnus obesus"""
Brazil,30345,35.0,"Frozen bluefin tunas ""Thunnus thynnus"""
Brazil,30346,35.0,"Frozen Southern bluefin tunas ""Thunnus maccoyii"""
Brazil,30349,35.0,"Frozen tunas of the genus ""Thunnus"" (excl. Thunnus alalunga, Thunnus albacares, Thunnus obesus, Thunnus thynnus and Thunnus maccoyii)"
Brazil,30350,35.0,"Frozen herrings ""Clupea harengus, Clupea pallasii"""
Brazil,30360,35.0,"Frozen cod ""Gadus morhua, Gadus ogac and Gadus macrocephalus"""
Brazil,30371,35.0,"Frozen sardines ""Sardina pilchardus, Sardinops spp."", sardinella ""Sardinella spp."" and brisling or sprats ""Sprattus sprattus"""
Brazil,30372,35.0,"Frozen haddock ""Melanogrammus aeglefinus"""
Brazil,30373,35.0,"Frozen coalfish ""Pollachius virens"""
Brazil,30374,35.0,"Frozen mackerel ""Scomber scombrus, Scomber australasicus, Scomber japonicus"""
Brazil,30375,35.0,Frozen dogfish and other sharks
Brazil,30376,35.0,"Frozen eels ""Anguilla spp."""
Brazil,30377,35.0,"Frozen sea bass ""Dicentrarchus labrax, Dicentrarchus punctatus"""
Brazil,30378,35.0,"Frozen hake ""Merluccius spp., Urophycis spp."""
Brazil,30379,35.0,"Frozen freshwater and saltwater fish (excl. salmonidae, flat fish, tunas, skipjack or stripe-bellied bonito, herrings, cod, sardines, sardinella, brisling or sprats, haddock, coalfish, mackerel, dogfish and other sharks, eels, sea bass and hake)"
Brazil,30380,35.0,Frozen fish livers and roes
Brazil,30410,35.0,"Fresh or chilled fillets and other fish meat, whether or not minced"
Brazil,30420,35.0,Frozen fish fillets
Brazil,30490,35.0,"Frozen fish meat, whether or not minced (excl. fillets)"
Brazil,30510,35.0,"Flours, meals and pellets of fish, fit for human consumption"
Brazil,30520,35.0,"Fish livers and roes, dried, smoked, salted or in brine"
Brazil,30530,11.666666666666666,"Fish fillets, dried, salted or in brine, not smoked"
Brazil,30541,35.0,"Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus"", Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho"", smoked, incl. fillets"
Brazil,30542,35.0,"Herrings ""Clupea harengus, Clupea pallasii"", smoked, incl. fillets"
Brazil,30549,11.666666666666666,"Smoked fish, incl. fillets (excl. Pacific salmon, Atlantic salmon, Danube salmon and herrings)"
Brazil,30551,0.0,"Dried cod ""Gadus morhua, Gadus ogac, Gadus macrocephalus"", whether or not salted, not smoked (excl. fillets)"
Brazil,30559,17.5,"Dried fish, salted, not smoked (excl. cod and other fillets)"
Brazil,30561,35.0,"Herrings ""Clupea harengus, Clupea pallasii"", salted or in brine only (excl. fillets)"
Brazil,30562,0.0,"Cod ""Gadus morhua, Gadus ogac, Gadus macrocephalus"", salted or in brine only (excl. fillets)"
Brazil,30563,35.0,"Anchovies ""Engraulis spp."", salted or in brine only (excl. fillets)"
Brazil,30569,17.5,"Fish, salted or in brine only (excl. herrings, cod, anchovies and fillets in general)"
Brazil,30611,35.0,"Frozen rock lobster and other sea crawfish ""Palinurus spp."", ""Panulirus spp."" and ""Jasus spp."", whether in shell or not, incl. rock lobster and other sea crawfish in shell, cooked by steaming or by boiling in water"
Brazil,30612,35.0,"Frozen lobsters ""Homarus spp."", whether in shell or not, incl. lobsters in shell, cooked by steaming or by boiling in water"
Brazil,30613,35.0,"Frozen shrimps and prawns, whether in shell or not, incl. shrimps and prawns in shell, cooked by steaming or by boiling in water"
Brazil,30614,35.0,"Frozen crabs, whether in shell or not, incl. crabs in shell, cooked by steaming or by boiling in water"
Brazil,30619,35.0,"Frozen crustaceans, fit for human consumption, whether in shell or not, incl. crustaceans in shell, cooked beforehand by steaming or by boiling in water (excl. rock lobster and other sea crawfish, lobsters, shrimps, prawns and crabs); frozen flours, meals, and pellets of crustaceans, fit for human consumption"
Brazil,30621,35.0,"Rock lobster and other sea crawfish ""Palinurus spp., Panulirus spp. and Jasus spp."", whether in shell or not, live, dried, salted or in brine, incl. in shell, cooked by steaming or by boiling in water"
Brazil,30622,35.0,"Lobsters ""Homarus spp."", whether in shell or not, live, dried, salted or in brine, incl. lobsters in shell, cooked by steaming or by boiling in water"
