year,reporter,trade_flow,partner,hs_code,commodity,unit_type,quantity,net_weight,cif_value,fob_value
2023,Brazil,imported_from,Paraguay,020130,"Meat; of bovine animals, boneless cuts, fresh or chilled",kg,20859060.0,20859060.0,121449077,120517874.0
2023,Brazil,imported_from,Paraguay,020220,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen",kg,52443.0,52443.0,142257,140643.0
2023,Brazil,imported_from,Paraguay,020230,"Meat; of bovine animals, boneless cuts, frozen",kg,7144609.0,7144609.0,36526175,36218864.0
2023,Brazil,imported_from,Paraguay,020622,"Offal, edible; of bovine animals, livers, frozen",kg,2692900.0,2692900.0,3173894,3053319.0
2023,Brazil,imported_from,Paraguay,020629,"Offal, edible; of bovine animals, (other than tongues and livers), frozen",kg,978823.0,978823.0,2784282,2749729.0
2023,Brazil,imported_from,Paraguay,020649,"Offal, edible; of swine, (other than livers), frozen",kg,75014.0,75014.0,76813,68066.0
2023,Brazil,imported_from,Paraguay,040210,"Dairy produce; milk and cream, concentrated or containing added sugar or other sweetening matter, in powder, granules or other solid forms, of a fat content not exceeding 1.5% (by weight)",kg,1000000.0,1000000.0,3337004,3306695.0
2023,Brazil,imported_from,Paraguay,040221,"Dairy produce; milk and cream, concentrated, not containing added sugar or other sweetening matter, in powder, granules or other solid forms, of a fat content exceeding 1.5% (by weight)",kg,13725000.0,13725000.0,48267821,47860007.0
2023,Brazil,imported_from,Paraguay,050400,"Animal products; guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, chilled, frozen, salted, in brine, dried or smoked",kg,1656059.0,1656059.0,11462213,11407851.0
2023,Brazil,imported_from,Paraguay,051000,"Animal products; ambergris, castoreum, civet, musk, cantharides, bile (dried or not) glands and other animal products, for pharmaceutical purposes, fresh, chilled, frozen or otherwise provisionally preserved",kg,4150934.0,4150934.0,4816884,4639404.0
2023,Brazil,imported_from,Paraguay,051199,Animal products; n.e.c. in chapter 5,kg,4692471.0,4692471.0,3305356,3045979.0
2023,Brazil,imported_from,Paraguay,071333,"Vegetables, leguminous; kidney beans, including white pea beans (phaseolus vulgaris), shelled, whether or not skinned or split, dried",kg,1555009.0,1555009.0,1367587,1353719.0
2023,Brazil,imported_from,Paraguay,080111,"Nuts, edible; coconuts, desiccated",kg,273437.0,273437.0,1013667,1008032.0
2023,Brazil,imported_from,Paraguay,081400,"Peel; of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water and other preservative solutions",kg,106110.0,106110.0,169409,167038.0
2023,Brazil,imported_from,Paraguay,090300,Mate,kg,1099929.0,1099929.0,1677884,1652259.0
2023,Brazil,imported_from,Paraguay,100199,"Cereals; wheat and meslin, other than durum wheat, other than seed",kg,189338480.0,189338480.0,53404076,50990542.0
2023,Brazil,imported_from,Paraguay,100490,"Cereals; oats, other than seed",kg,42650.0,42650.0,19133,17913.0
2023,Brazil,imported_from,Paraguay,100590,"Cereals; maize (corn), other than seed",kg,1358283300.0,1358283300.0,285631340,268163875.0
2023,Brazil,imported_from,Paraguay,100610,Cereals; rice in the husk (paddy or rough),kg,20032460.0,20032460.0,6417199,5872856.0
2023,Brazil,imported_from,Paraguay,100620,Cereals; husked (brown) rice,kg,300029660.0,300029660.0,132618373,122610940.0
2023,Brazil,imported_from,Paraguay,100630,"Cereals; rice, semi-milled or wholly milled, whether or not polished or glazed",kg,328369611.0,328369611.0,184194973,173861856.0
2023,Brazil,imported_from,Paraguay,100640,"Cereals; rice, broken",kg,26138670.0,26138670.0,8766925,7834276.0
2023,Brazil,imported_from,Paraguay,100790,"Cereals; grain sorghum, other than seed",kg,35347000.0,35347000.0,5299907,4947216.0
2023,Brazil,imported_from,Paraguay,110100,Wheat or meslin flour,kg,12392975.0,12392975.0,6737956,6511738.0
2023,Brazil,imported_from,Paraguay,110812,Starch; maize (corn) starch,kg,5711100.0,5711100.0,2509174,2485883.0
2023,Brazil,imported_from,Paraguay,110814,Starch; manioc (cassava),kg,518400.0,518400.0,203850,202176.0
2023,Brazil,imported_from,Paraguay,120190,"Soya beans; other than seed, whether or not broken",kg,164987000.0,164986708.0,81004474,78942522.0
2023,Brazil,imported_from,Paraguay,120242,"Ground-nuts; other than seed, not roasted or otherwise cooked, shelled, whether or not broken,",kg,725000.0,725000.0,1367188,1333000.0
2023,Brazil,imported_from,Paraguay,120510,"Oil seeds; low erucic acid rape or colza seeds, whether or not broken",kg,3476800.0,3476800.0,1515927,1416157.0
2023,Brazil,imported_from,Paraguay,120590,"Oil seeds; rape or colza seeds, other than low erucic, whether or not broken",kg,124530.0,124530.0,104904,102364.0
2023,Brazil,imported_from,Paraguay,120730,"Oil seeds; castor oil seeds, whether or not broken",kg,840000.0,840000.0,559980,551100.0
2023,Brazil,imported_from,Paraguay,120740,"Oil seeds; sesamum seeds, whether or not broken",kg,327500.0,327500.0,482795,469174.0
2023,Brazil,imported_from,Paraguay,120799,"Oil seeds and oleaginous fruits; n.e.c. in heading no. 1207, whether or not broken",kg,419053.0,419053.0,1079073,1054263.0
2023,Brazil,imported_from,Paraguay,120890,Flours and meals of oil seeds or oleaginous fruits; excluding soya beans and mustard seeds,kg,6654.0,6654.0,26265,25728.0
2023,Brazil,imported_from,Paraguay,121299,"Vegetable products; fit for human consumption, n.e.c. in heading no. 1212, fresh, chilled, frozen or dried, whether or not ground",kg,138460.0,138460.0,294202,289290.0
2023,Brazil,imported_from,Paraguay,121300,"Cereal straw and husks; unprepared, whether or not chopped, ground, pressed or in the form of pellets",kg,8000.0,8000.0,310,160.0
2023,Brazil,imported_from,Paraguay,150210,Tallow; other than those of heading 1503,kg,36926180.0,36926180.0,31595944,30489451.0
2023,Brazil,imported_from,Paraguay,150710,"Vegetable oils; soya-bean oil and its fractions, crude, whether or not degummed, not chemically modified",kg,10845000.0,10844450.0,10786300,10469984.0
2023,Brazil,imported_from,Paraguay,150790,"Vegetable oils; soya-bean oil and its fractions, other than crude, whether or not refined, but not chemically modified",kg,300000.0,300000.0,276000,270000.0
2023,Brazil,imported_from,Paraguay,151411,"Vegetable oils; low erucic acid rape or colza oil and its fractions, crude",kg,7949770.0,7949770.0,8633804,8421017.0
2023,Brazil,imported_from,Paraguay,151521,"Vegetable oils; maize (corn) oil and its fractions, crude, not chemically modified",kg,491776.0,491776.0,238361,228957.0
2023,Brazil,imported_from,Paraguay,151590,"Fixed vegetable fats and oils and their fractions n.e.c. in heading 1515; other than linseed, maize (corn), castor, sesame, microbial oils, whether or not refined, but not chemically modified",kg,78270.0,78270.0,204190,198832.0
2023,Brazil,imported_from,Paraguay,151800,"Animal, vegetable or microbial fats, oils and their fractions; boiled, oxidised, dehydrated or otherwise chemically modified, excluding those of heading no. 1516, inedible mixtures or preparations of fats, oils or their fractions, n.e.c. in chapter 15",kg,29750.0,29750.0,23705,23205.0
2023,Brazil,imported_from,Paraguay,152000,"Glycerol, crude; glycerol waters and glycerol lyes",kg,60000.0,60000.0,4666,3150.0
2023,Brazil,imported_from,Paraguay,190219,"Food preparations; pasta, uncooked (excluding that containing eggs), not stuffed or otherwise prepared",kg,2980.0,2980.0,2755,2400.0
2023,Brazil,imported_from,Paraguay,190590,"Food preparations; bakers' wares n.e.c. in heading no. 1605, whether or not containing cocoa; communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice papers and similar products",kg,346667.0,346667.0,2295259,2258776.0
2023,Brazil,imported_from,Paraguay,200891,"Fruit, palm hearts; prepared or preserved, whether or not containing added sugar, other sweetening matter or spirit",kg,5681.0,5681.0,23766,23624.0
2023,Brazil,imported_from,Paraguay,200929,"Juice; grapefruit or pomelo, of a Brix value exceeding 20, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter",kg,44200.0,44200.0,129810,128210.0
2023,Brazil,imported_from,Paraguay,210210,Yeasts; active,kg,7852476.0,7852476.0,7082429,6939360.0
2023,Brazil,imported_from,Paraguay,210230,Baking powders; prepared,kg,473200.0,473200.0,933386,922817.0
2023,Brazil,imported_from,Paraguay,210690,Food preparations; n.e.c. in item no. 2106.10,kg,592028.0,592028.0,1206085,1191818.0
2023,Brazil,imported_from,Paraguay,220300,Beer; made from malt,l,435000.0,435600.0,134270,110620.0
2023,Brazil,imported_from,Paraguay,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,l,59011910.0,46628050.0,38546747,36653795.0
2023,Brazil,imported_from,Paraguay,230110,"Flours, meals and pellets; of meat or meat offal, greaves",kg,153630.0,153630.0,53789,50362.0
2023,Brazil,imported_from,Paraguay,230210,"Bran, sharps and other residues; of maize (corn), whether or not in the form of pellets, derived from the sifting, milling or other workings thereof",kg,19800000.0,19800000.0,5204110,5005400.0
2023,Brazil,imported_from,Paraguay,230250,"Bran, sharps and other residues; of leguminous plants, whether or not in the form of pellets, derived from the sifting, milling or other workings thereof",kg,7762570.0,7762570.0,1016964,975613.0
2023,Brazil,imported_from,Paraguay,230990,"Dog or cat food; (not put up for retail sale), used in animal feeding",kg,2500332.0,2500332.0,2360894,2302488.0
2023,Brazil,imported_from,Paraguay,240110,"Tobacco, (not stemmed or stripped)",kg,40500.0,40500.0,48075,46575.0
2023,Brazil,imported_from,Paraguay,240120,Tobacco; partly or wholly stemmed or stripped,kg,283920.0,283920.0,714600,709800.0
2023,Brazil,imported_from,Paraguay,240311,"Tobacco; smoking, water pipe tobacco as specified in Subheading Note 1 to this Chapter, whether or not containing tobacco substitutes in any proportion",kg,650425.0,650425.0,1318855,1300849.0
2023,Brazil,imported_from,Paraguay,251200,"Siliceous fossil meals (e.g. kieselguhr, tripolite and diatomite) and similar siliceous earths; whether or not calcined, of an apparent specific gravity of 1 or less",kg,1379500.0,1379500.0,245188,212121.0
2023,Brazil,imported_from,Paraguay,261900,"Slag, dross; (other than granulated slag), scalings and other waste from the manufacture of iron or steel",kg,1467960.0,1467960.0,265991,221891.0
2023,Brazil,imported_from,Paraguay,271600,Electrical energy,1000 kWh,5674389.713,,1058352228,1058352228.0
2023,Brazil,imported_from,Paraguay,280110,Chlorine,kg,1804000.0,1804000.0,476889,423940.0
2023,Brazil,imported_from,Paraguay,280440,Oxygen,m³,554190.0,735000.0,149669,99753.0
2023,Brazil,imported_from,Paraguay,280610,Hydrogen chloride (hydrochloric acid),kg,918000.0,918000.0,193607,181764.0
2023,Brazil,imported_from,Paraguay,281122,Silicon dioxide,kg,750000.0,750000.0,111000,55500.0
2023,Brazil,imported_from,Paraguay,281512,Sodium hydroxide (caustic soda); in aqueous solution (soda lye or liquid soda),kg,405000.0,405000.0,83296,72846.0
2023,Brazil,imported_from,Paraguay,290529,"Alcohols; acyclic, unsaturated monohydric, (other than acyclic terpene alcohols)",kg,6.0,6.0,2215,1800.0
2023,Brazil,imported_from,Paraguay,290611,"Alcohols; cyclanic, cyclenic or cycloterpenic and derivatives, menthol",kg,58750.0,58750.0,1422947,1388082.0
2023,Brazil,imported_from,Paraguay,291219,"Aldehydes; acyclic, without other oxygen function, n.e.c. in item no. 2912.1",kg,1.0,1.0,2055,2000.0
2023,Brazil,imported_from,Paraguay,291539,Acids; saturated acyclic monocarboxylic acids; esters of acetic acid n.e.c. in item no. 2915.3,kg,311.0,311.0,14499,13599.0
2023,Brazil,imported_from,Paraguay,291615,"Acids; unsaturated acyclic monocarboxylic acids; oleic, linoleic or linolenic acids, their salts and esters",kg,25610.0,25610.0,30572,29452.0
2023,Brazil,imported_from,Paraguay,293299,"Heterocyclic compounds; with oxygen hetero-atom(s) only, no lactones or unfused furan rings in the structure, other than isosafrole, 1-(1,3-benzodiaxol-5-yl) propan-2-one, piperonal, safrole, tetrahydrocannabinols (all isomers), carbofuran (ISO)",kg,27000.0,27000.0,461365,452124.0
2023,Brazil,imported_from,Paraguay,293339,"Heterocyclic compounds; containing an unfused pyridine ring (whether or not hydrogenated) in the structure, n.e.c. in 2933.3",kg,46.0,46.0,12,10.0
2023,Brazil,imported_from,Paraguay,300212,"Blood, human or animal, antisera, other blood fractions and immunological products; antisera and other blood fractions",kg,92205.0,92205.0,415061,410563.0
2023,Brazil,imported_from,Paraguay,300290,"Toxins, cultures of micro-organisms (excluding yeasts) and similar products",kg,11.0,11.0,3985,5.0
2023,Brazil,imported_from,Paraguay,300420,"Medicaments; containing antibiotics (other than penicillins, streptomycins or their derivatives), for therapeutic or prophylactic uses, packaged for retail sale",kg,3521.0,3521.0,5266306,5214660.0
2023,Brazil,imported_from,Paraguay,300510,"Dressings, adhesive; and other articles having an adhesive layer, packed for retail sale for medical, surgical, dental or veterinary purposes",kg,13569.0,13569.0,356036,354362.0
2023,Brazil,imported_from,Paraguay,300590,"Wadding, gauze, bandages and similar articles; (excluding adhesive dressings), impregnated or coated with pharmaceutical substances, packaged for retail sale",kg,3139.0,3139.0,375203,374721.0
2023,Brazil,imported_from,Paraguay,310290,"Fertilizers, mineral or chemical; nitrogenous, other kinds including mixtures not specified in the foregoing subheadings",kg,13025.0,13025.0,50605,50000.0
2023,Brazil,imported_from,Paraguay,310490,"Fertilizers, mineral or chemical; potassic, n.e.c. in heading no. 3104",kg,29650.0,29650.0,111410,110000.0
2023,Brazil,imported_from,Paraguay,310510,"Fertilizers, mineral or chemical; in tablets or similar forms or in packages of a gross weight not exceeding 10kg",kg,23306.0,23306.0,159547,158236.0
2023,Brazil,imported_from,Paraguay,310590,"Fertilizers, mineral or chemical; n.e.c. in heading no. 3105",kg,51650.0,51650.0,213476,211943.0
2023,Brazil,imported_from,Paraguay,320417,Dyes; pigments and preparations based thereon,kg,861935.0,861935.0,1383420,1374570.0
2023,Brazil,imported_from,Paraguay,320820,"Paints and varnishes; based on acrylic or vinyl polymers, dispersed or dissolved in a non-aqueous medium",kg,3308.0,3308.0,50021,49620.0
2023,Brazil,imported_from,Paraguay,321310,"Colours; in sets, of a kind used by artists, students or signboard painters",kg,78038.0,78038.0,135299,134599.0
2023,Brazil,imported_from,Paraguay,321511,"Ink; for printing, black, whether or not concentrated or solid",kg,11118.0,11118.0,229424,228052.0
2023,Brazil,imported_from,Paraguay,321519,"Ink; for printing, other than black, whether or not concentrated or solid",kg,45180.0,45180.0,972357,967014.0
2023,Brazil,imported_from,Paraguay,330112,"Oils, essential; of orange (terpeneless or not), including concretes and absolutes",kg,7810.0,7810.0,408933,398542.0
2023,Brazil,imported_from,Paraguay,330124,"Oils, essential; of peppermint (Mentha piperita), terpeneless or not, including concretes and absolutes",kg,2610.0,2610.0,100088,97928.0
2023,Brazil,imported_from,Paraguay,330125,"Oils, essential; of mints (excluding peppermint), terpeneless or not, including concretes and absolutes",kg,90160.0,90160.0,1431692,1422862.0
2023,Brazil,imported_from,Paraguay,330129,"Oils, essential; n.e.c. in heading no. 3301 (terpeneless or not), including concretes and absolutes",kg,29266.0,29266.0,606768,580334.0
2023,Brazil,imported_from,Paraguay,330290,Odoriferous substances and mixtures; used as raw materials in industries other than the food or drink industries,kg,178.234,178.234,4080,3704.0
2023,Brazil,imported_from,Paraguay,340111,"Soap and organic surface-active products; in the form of bars, cakes, moulded shapes, and paper, wadding, felt and nonwovens, impregnated, coated or covered with soap or detergent, for toilet use (including medicated products)",kg,3141330.0,3141330.0,8319088,8274844.0
2023,Brazil,imported_from,Paraguay,340120,Soap; in forms n.e.c. in item no. 3401.11,kg,25340.0,25340.0,56607,55748.0
2023,Brazil,imported_from,Paraguay,340242,"Organic surface-active agents; non-ionic (other than soap), whether or not put up for retail sale",kg,1188850.0,1188850.0,3058849,3035545.0
2023,Brazil,imported_from,Paraguay,340600,"Candles, tapers and the like",kg,22649.0,22649.0,58321,57076.0
2023,Brazil,imported_from,Paraguay,340700,"Modelling pastes; preparations known as dental wax, put up in sets, in packings for retail sale or in plates, horseshoe shapes, sticks or similar forms, other preparations for use in dentistry",kg,126056.0,126056.0,190211,189005.0
2023,Brazil,imported_from,Paraguay,350300,"Gelatin (including gelatin in rectangular sheets, whether or not surface-worked or coloured) and gelatin derivatives; isinglass; other glues of animal origin, excluding casein glues of heading no. 3501",kg,22000.0,22000.0,163688,162903.0
2023,Brazil,imported_from,Paraguay,350610,"Glues or adhesives; prepared, products suitable for use as glues or adhesives, put up for retail sale as glues or adhesives, not exceeding a net weight of 1kg",kg,71842.0,71842.0,187499,187036.0
2023,Brazil,imported_from,Paraguay,350691,"Adhesives; prepared, based on polymers of heading 3901 to 3913 or on rubber",kg,37680.0,37680.0,58335,57235.0
2023,Brazil,imported_from,Paraguay,380210,Carbon; activated,kg,140000.0,140000.0,72656,67860.0
2023,Brazil,imported_from,Paraguay,380861,Insecticides and the like; containing goods specified in Subheading Note 2 to this Chapter; in packings of a net weight content not exceeding 300g; for retail sale or as preparations or articles,kg,8.297,8.297,127,90.0
2023,Brazil,imported_from,Paraguay,380862,"Insecticides; containing goods specified in Subheading Note 2 to this Chapter; put up in forms or packings for retail sale or as preparations or articles, in packings of a net weight content exceeding 300g but not exceeding 7.5kg",kg,19377.0,19377.0,255784,254918.0
