year,reporter,trade_flow,partner,hs_code,commodity,unit_type,quantity,net_weight,cif_value,fob_value
2023,Paraguay,imported_from,Brazil,010121,"Horses; live, pure-bred breeding animals",,0.0,8200.0,77783.5,75080.65
2023,Paraguay,imported_from,Brazil,010221,"Cattle; live, pure-bred breeding animals",units,79.701,10925.0,169239.2,163801.19
2023,Paraguay,imported_from,Brazil,010310,"Swine; live, pure-bred breeding animals",,0.0,55587.0,697124.31,649040.72
2023,Paraguay,imported_from,Brazil,010392,"Swine; live, other than pure-bred breeding animals, weighing 50kg or more",units,2690.914,79650.0,655794.51,579105.9
2023,Paraguay,imported_from,Brazil,010511,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g",,0.0,667138.8,11529662.15,10969520.83
2023,Paraguay,imported_from,Brazil,020130,"Meat; of bovine animals, boneless cuts, fresh or chilled",kg,3828180.0,3828180.0,15277210.25,14030355.31
2023,Paraguay,imported_from,Brazil,020220,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen",kg,1845790.0,1845790.0,6557425.64,6235915.96
2023,Paraguay,imported_from,Brazil,020230,"Meat; of bovine animals, boneless cuts, frozen",kg,2261060.0,2261060.0,8534604.6,7973398.84
2023,Paraguay,imported_from,Brazil,020329,"Meat; of swine, n.e.c. in item no. 0203.2, frozen",kg,566554.0,566554.0,1476886.39,1408249.02
2023,Paraguay,imported_from,Brazil,020621,"Offal, edible; of bovine animals, tongues, frozen",kg,207494.0,207494.0,602311.4,548021.3
2023,Paraguay,imported_from,Brazil,020622,"Offal, edible; of bovine animals, livers, frozen",kg,218172.0,218172.0,263605.65,245334.87
2023,Paraguay,imported_from,Brazil,020629,"Offal, edible; of bovine animals, (other than tongues and livers), frozen",kg,262317.5,262317.5,639871.23,567495.84
2023,Paraguay,imported_from,Brazil,020649,"Offal, edible; of swine, (other than livers), frozen",kg,48918.1,48918.1,54241.02,47565.15
2023,Paraguay,imported_from,Brazil,020712,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen",kg,2000.0,2000.0,8096.91,8000.0
2023,Paraguay,imported_from,Brazil,020714,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",kg,3504.0,3504.0,7924.94,7266.9
2023,Paraguay,imported_from,Brazil,020742,"Meat and edible offal; of ducks, not cut in pieces, frozen",kg,15000.0,15000.0,68185.63,64500.0
2023,Paraguay,imported_from,Brazil,020745,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, frozen",kg,2052.0,2052.0,18598.5,17593.2
2023,Paraguay,imported_from,Brazil,021012,"Meat; salted, in brine, dried or smoked, of swine, bellies (streaky) and cuts thereof",kg,67950.0,67950.0,295113.63,291418.73
2023,Paraguay,imported_from,Brazil,021019,"Meat; salted in brine, dried or smoked, of swine, n.e.c. in item no. 0210.1",kg,5120.32,5120.32,44003.58,40640.1
2023,Paraguay,imported_from,Brazil,030389,"Fish; frozen, n.e.c. in heading 0303, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",kg,5400.0,5400.0,11976.13,8590.13
2023,Paraguay,imported_from,Brazil,030461,"Fish fillets; frozen, tilapias (Oreochromis spp.)",kg,4288.0,4288.0,30665.16,28877.6
2023,Paraguay,imported_from,Brazil,040110,"Dairy produce; milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content, by weight, not exceeding 1%",kg,9155.64,9155.64,6092.52,5791.16
2023,Paraguay,imported_from,Brazil,040120,"Dairy produce; milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content, by weight, exceeding 1% but not exceeding 6%",kg,11579.7,11579.7,10807.96,10390.1
2023,Paraguay,imported_from,Brazil,040150,"Dairy produce; milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content, by weight, exceeding 10%",kg,563257.4,563257.4,1247443.08,1198572.05
2023,Paraguay,imported_from,Brazil,040210,"Dairy produce; milk and cream, concentrated or containing added sugar or other sweetening matter, in powder, granules or other solid forms, of a fat content not exceeding 1.5% (by weight)",kg,75000.0,75000.0,257748.12,255000.0
2023,Paraguay,imported_from,Brazil,040221,"Dairy produce; milk and cream, concentrated, not containing added sugar or other sweetening matter, in powder, granules or other solid forms, of a fat content exceeding 1.5% (by weight)",kg,150921.6,150921.6,498276.25,485680.0
2023,Paraguay,imported_from,Brazil,040229,"Dairy produce; milk and cream, containing added sugar or other sweetening matter, in powder, granules or other solid forms, of a fat content exceeding 1.5% (by weight)",kg,23.91,23.91,128.87,9.05
2023,Paraguay,imported_from,Brazil,040299,"Dairy produce; milk and cream, containing added sugar or other sweetening matter, other than in powder, granules or other solid forms",kg,1712910.0,1712910.0,3693506.52,3513623.1
2023,Paraguay,imported_from,Brazil,040320,"Dairy produce; yoghurt, whether or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit, nuts or cocoa",kg,7525.56,7525.56,17341.51,14375.69
2023,Paraguay,imported_from,Brazil,040390,"Dairy produce; buttermilk, curdled milk or cream, kephir, fermented or acidified milk or cream, whether or not concentrated or containing added sweetening, flavouring, fruit, nuts or cocoa (excluding yoghurt)",kg,1412.25,1412.25,2622.25,2154.26
2023,Paraguay,imported_from,Brazil,040410,"Dairy produce; whey, whether or not concentrated or containing added sugar or other sweetening matter",kg,325439.0,325439.0,317269.16,287731.57
2023,Paraguay,imported_from,Brazil,040510,"Dairy produce; derived from milk, butter",kg,9768.0,9768.0,60073.62,55957.16
2023,Paraguay,imported_from,Brazil,040610,"Dairy produce; fresh cheese (including whey cheese), not fermented, and curd",kg,208491.2,208491.2,1079518.77,1021668.3
2023,Paraguay,imported_from,Brazil,040620,"Dairy produce; cheese of all kinds, grated or powdered",kg,567.6,567.6,6341.46,5470.79
2023,Paraguay,imported_from,Brazil,040630,"Dairy produce; cheese, processed (not grated or powdered)",kg,127641.0,127641.0,723271.06,686260.34
2023,Paraguay,imported_from,Brazil,040640,"Dairy produce; cheese, blue-veined and other cheese containing veins produced by Penicillium roqueforti (not grated, powdered or processed)",kg,1710.0,1710.0,15342.1,13797.25
2023,Paraguay,imported_from,Brazil,040690,"Dairy produce; cheese (not grated, powdered or processed), n.e.c. in heading no. 0406",kg,16501.83,16501.83,148803.77,137833.09
2023,Paraguay,imported_from,Brazil,040711,"Birds' eggs, in shell; fresh, fertilised eggs for incubation, of fowls of the species Gallus domesticus (domestic hens)",kg,2117810.0,2117810.0,10685323.95,10239454.49
2023,Paraguay,imported_from,Brazil,040811,"Eggs; birds' eggs, yolks, dried, whether or not containing added sugar or other sweetening matter",kg,1000.0,1000.0,9452.17,8750.0
2023,Paraguay,imported_from,Brazil,040899,"Eggs; birds' eggs (not in shell, excluding yolks only), fresh, cooked by steaming or boiling in water, moulded, frozen, otherwise preserved, whether or not containing added sugar or other sweetening matter",kg,57152.6,57152.6,201820.37,193141.74
2023,Paraguay,imported_from,Brazil,050400,"Animal products; guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, chilled, frozen, salted, in brine, dried or smoked",kg,3440213.0,3440213.0,7468465.43,6993957.1
2023,Paraguay,imported_from,Brazil,050690,"Animal products; bones and horn-cores and powder or waste of such, unworked, defatted, simply prepared (not cut to shape), or treated with acid or degelatinised, n.e.c. in heading no. 0506",kg,41515.6,41515.6,50815.93,41515.64
2023,Paraguay,imported_from,Brazil,051110,Animal products; bovine semen,kg,215.61,215.61,718393.44,697346.93
2023,Paraguay,imported_from,Brazil,051199,Animal products; n.e.c. in chapter 5,kg,4546653.282,4546653.282,31624021.84,30700518.68
2023,Paraguay,imported_from,Brazil,060210,"Plants, live; unrooted cuttings and slips",units,48614.43,57.52,6158.06,5330.0
2023,Paraguay,imported_from,Brazil,060290,"Plants, live; n.e.c. in heading no. 0602",kg,166642.0,166642.0,111600.76,105619.12
2023,Paraguay,imported_from,Brazil,060311,"Flowers, cut; roses, flowers and buds of a kind suitable for bouquets or ornamental purposes, fresh",kg,6645.0,6645.0,12208.9,12025.95
2023,Paraguay,imported_from,Brazil,060314,"Flowers, cut; chrysanthemums, flowers and buds of a kind suitable for bouquets or ornamental purposes, fresh",kg,54820.0,54820.0,112742.03,111043.55
2023,Paraguay,imported_from,Brazil,060319,"Flowers, cut; flowers and buds of a kind suitable for bouquets or ornamental purposes, fresh, other than roses, carnations, orchids, chrysanthemums or lillies",kg,12827.0,12827.0,24557.89,24187.83
2023,Paraguay,imported_from,Brazil,070190,"Vegetables; potatoes (other than seed), fresh or chilled",kg,4531410.0,4531410.0,347943.0,319539.21
2023,Paraguay,imported_from,Brazil,070200,"Vegetables; tomatoes, fresh or chilled",kg,1042040.0,1042040.0,139510.06,131565.86
2023,Paraguay,imported_from,Brazil,070310,"Vegetables, alliaceous; onions and shallots, fresh or chilled",kg,3186666.0,3186666.0,339492.47,316330.5
2023,Paraguay,imported_from,Brazil,070320,"Vegetables, alliaceous; garlic, fresh or chilled",kg,720.36,720.36,2854.1,2717.16
2023,Paraguay,imported_from,Brazil,070410,"Vegetables, brassica; cauliflowers and broccoli, fresh or chilled",kg,287264.0,287264.0,69298.4,65987.4
2023,Paraguay,imported_from,Brazil,070420,"Vegetables, brassica; brussel sprouts, fresh or chilled",kg,47000.0,47000.0,3382.32,3055.0
2023,Paraguay,imported_from,Brazil,070490,"Vegetables, brassica; edible, n.e.c. in heading no. 0704, fresh or chilled",kg,4835830.0,4835830.0,643280.33,611057.11
2023,Paraguay,imported_from,Brazil,070511,"Vegetables; cabbage (head) lettuce (lactuca sativa), fresh or chilled",kg,85690.0,85690.0,14471.54,13718.9
2023,Paraguay,imported_from,Brazil,070519,"Vegetables; lettuce (lactuca sativa), (other than cabbage lettuce), fresh or chilled",kg,288900.0,288900.0,69877.64,66612.75
2023,Paraguay,imported_from,Brazil,070610,"Vegetables, root; carrots and turnips, fresh or chilled",kg,460501.0,460501.0,71849.8,68516.42
2023,Paraguay,imported_from,Brazil,070690,"Vegetables, root; salad beetroot, salsify, celeric, radishes and similar edible roots, fresh or chilled",kg,2416520.0,2416520.0,350134.91,332756.71
2023,Paraguay,imported_from,Brazil,070700,"Vegetables; cucumbers and gherkins, fresh or chilled",kg,28010.0,28010.0,5901.8,5631.15
2023,Paraguay,imported_from,Brazil,070820,"Vegetables, leguminous; beans (vigna spp., phaseolus spp.), shelled or unshelled, fresh or chilled",kg,4653.0,4653.0,935.93,894.0
2023,Paraguay,imported_from,Brazil,070930,"Vegetables; aubergines, (e.g. plants), fresh or chilled",kg,6615.0,6615.0,1245.59,1180.8
2023,Paraguay,imported_from,Brazil,070940,"Vegetables; celery (other than celeriac), fresh or chilled",kg,2152.0,2152.0,572.02,546.0
2023,Paraguay,imported_from,Brazil,070960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",kg,343984.0,343984.0,90801.35,86499.4
