year,reporter,trade_flow,partner,hs_code,commodity,unit_type,quantity,net_weight,fob_value
2023,Brazil,exported_to,Paraguay,010121,"Horses; live, pure-bred breeding animals",u,17.0,8200.0,75081
2023,Brazil,exported_to,Paraguay,010221,"Cattle; live, pure-bred breeding animals",u,17.0,10937.0,163801
2023,Brazil,exported_to,Paraguay,010310,"Swine; live, pure-bred breeding animals",u,641.0,58244.0,649041
2023,Brazil,exported_to,Paraguay,010392,"Swine; live, other than pure-bred breeding animals, weighing 50kg or more",u,904.0,79649.0,579106
2023,Brazil,exported_to,Paraguay,010511,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g",u,13417432.0,642645.0,10782248
2023,Brazil,exported_to,Paraguay,020130,"Meat; of bovine animals, boneless cuts, fresh or chilled",kg,3428542.0,3428542.0,11463570
2023,Brazil,exported_to,Paraguay,020220,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen",kg,1822983.0,1822983.0,6153697
2023,Brazil,exported_to,Paraguay,020230,"Meat; of bovine animals, boneless cuts, frozen",kg,1993022.0,1993022.0,6529132
2023,Brazil,exported_to,Paraguay,020329,"Meat; of swine, n.e.c. in item no. 0203.2, frozen",kg,566560.0,566560.0,1361534
2023,Brazil,exported_to,Paraguay,020621,"Offal, edible; of bovine animals, tongues, frozen",kg,184991.0,184991.0,473762
2023,Brazil,exported_to,Paraguay,020629,"Offal, edible; of bovine animals, (other than tongues and livers), frozen",kg,209823.0,209823.0,414503
2023,Brazil,exported_to,Paraguay,020649,"Offal, edible; of swine, (other than livers), frozen",kg,23916.0,23916.0,23632
2023,Brazil,exported_to,Paraguay,020712,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen",kg,2000.0,2000.0,8000
2023,Brazil,exported_to,Paraguay,020714,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",kg,31512.0,31512.0,73065
2023,Brazil,exported_to,Paraguay,020742,"Meat and edible offal; of ducks, not cut in pieces, frozen",kg,15000.0,15000.0,61514
2023,Brazil,exported_to,Paraguay,020745,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, frozen",kg,2052.0,2052.0,16779
2023,Brazil,exported_to,Paraguay,021012,"Meat; salted, in brine, dried or smoked, of swine, bellies (streaky) and cuts thereof",kg,67950.0,67950.0,291422
2023,Brazil,exported_to,Paraguay,021019,"Meat; salted in brine, dried or smoked, of swine, n.e.c. in item no. 0210.1",kg,5120.0,5120.0,40640
2023,Brazil,exported_to,Paraguay,030389,"Fish; frozen, n.e.c. in heading 0303, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",kg,5400.0,5400.0,8617
2023,Brazil,exported_to,Paraguay,030461,"Fish fillets; frozen, tilapias (Oreochromis spp.)",kg,4596.0,4596.0,30747
2023,Brazil,exported_to,Paraguay,040110,"Dairy produce; milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content, by weight, not exceeding 1%",kg,7442.0,7442.0,4547
2023,Brazil,exported_to,Paraguay,040120,"Dairy produce; milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content, by weight, exceeding 1% but not exceeding 6%",kg,11461.0,11461.0,10271
2023,Brazil,exported_to,Paraguay,040150,"Dairy produce; milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content, by weight, exceeding 10%",kg,548141.0,548141.0,1182215
2023,Brazil,exported_to,Paraguay,040221,"Dairy produce; milk and cream, concentrated, not containing added sugar or other sweetening matter, in powder, granules or other solid forms, of a fat content exceeding 1.5% (by weight)",kg,51078.0,51078.0,168648
2023,Brazil,exported_to,Paraguay,040299,"Dairy produce; milk and cream, containing added sugar or other sweetening matter, other than in powder, granules or other solid forms",kg,1648275.0,1648275.0,3389961
2023,Brazil,exported_to,Paraguay,040320,"Dairy produce; yoghurt, whether or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit, nuts or cocoa",kg,7525.0,7525.0,14394
2023,Brazil,exported_to,Paraguay,040390,"Dairy produce; buttermilk, curdled milk or cream, kephir, fermented or acidified milk or cream, whether or not concentrated or containing added sweetening, flavouring, fruit, nuts or cocoa (excluding yoghurt)",kg,1417.0,1417.0,2156
2023,Brazil,exported_to,Paraguay,040410,"Dairy produce; whey, whether or not concentrated or containing added sugar or other sweetening matter",kg,323893.0,323893.0,296667
2023,Brazil,exported_to,Paraguay,040510,"Dairy produce; derived from milk, butter",kg,9768.0,9768.0,55999
2023,Brazil,exported_to,Paraguay,040610,"Dairy produce; fresh cheese (including whey cheese), not fermented, and curd",kg,208455.0,208455.0,965548
2023,Brazil,exported_to,Paraguay,040620,"Dairy produce; cheese of all kinds, grated or powdered",kg,568.0,568.0,5519
2023,Brazil,exported_to,Paraguay,040630,"Dairy produce; cheese, processed (not grated or powdered)",kg,142638.0,142638.0,683078
2023,Brazil,exported_to,Paraguay,040640,"Dairy produce; cheese, blue-veined and other cheese containing veins produced by Penicillium roqueforti (not grated, powdered or processed)",kg,545.0,545.0,4350
2023,Brazil,exported_to,Paraguay,040690,"Dairy produce; cheese (not grated, powdered or processed), n.e.c. in heading no. 0406",kg,17667.0,17667.0,146873
2023,Brazil,exported_to,Paraguay,040711,"Birds' eggs, in shell; fresh, fertilised eggs for incubation, of fowls of the species Gallus domesticus (domestic hens)",kg,2101925.0,2101925.0,10138479
2023,Brazil,exported_to,Paraguay,040811,"Eggs; birds' eggs, yolks, dried, whether or not containing added sugar or other sweetening matter",kg,1000.0,1000.0,8750
2023,Brazil,exported_to,Paraguay,040899,"Eggs; birds' eggs (not in shell, excluding yolks only), fresh, cooked by steaming or boiling in water, moulded, frozen, otherwise preserved, whether or not containing added sugar or other sweetening matter",kg,57152.0,57148.0,193020
2023,Brazil,exported_to,Paraguay,050400,"Animal products; guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, chilled, frozen, salted, in brine, dried or smoked",kg,3426914.0,3426914.0,6953089
2023,Brazil,exported_to,Paraguay,050690,"Animal products; bones and horn-cores and powder or waste of such, unworked, defatted, simply prepared (not cut to shape), or treated with acid or degelatinised, n.e.c. in heading no. 0506",kg,41516.0,41516.0,41516
