year,reporter,trade_flow,partner,hs_code,commodity,unit_type,quantity,net_weight,fob_value
2023,Paraguay,exported_to,Brazil,020130,"Meat; of bovine animals, boneless cuts, fresh or chilled",kg,21523200.0,21523200.0,124952910.87
2023,Paraguay,exported_to,Brazil,020220,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen",kg,52442.3,52442.3,140419.43
2023,Paraguay,exported_to,Brazil,020230,"Meat; of bovine animals, boneless cuts, frozen",kg,7425400.0,7425400.0,37709010.83
2023,Paraguay,exported_to,Brazil,020622,"Offal, edible; of bovine animals, livers, frozen",kg,2883500.0,2883500.0,3287412.18
2023,Paraguay,exported_to,Brazil,020629,"Offal, edible; of bovine animals, (other than tongues and livers), frozen",kg,1037276.0,1037276.0,2882343.42
2023,Paraguay,exported_to,Brazil,020649,"Offal, edible; of swine, (other than livers), frozen",kg,100016.0,100016.0,92000.16
2023,Paraguay,exported_to,Brazil,040210,"Dairy produce; milk and cream, concentrated or containing added sugar or other sweetening matter, in powder, granules or other solid forms, of a fat content not exceeding 1.5% (by weight)",kg,1100000.0,1100000.0,3530095.0
2023,Paraguay,exported_to,Brazil,040221,"Dairy produce; milk and cream, concentrated, not containing added sugar or other sweetening matter, in powder, granules or other solid forms, of a fat content exceeding 1.5% (by weight)",kg,13750000.0,13750000.0,47044886.95
2023,Paraguay,exported_to,Brazil,050400,"Animal products; guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, chilled, frozen, salted, in brine, dried or smoked",kg,1688395.0,1688395.0,11584343.37
2023,Paraguay,exported_to,Brazil,051000,"Animal products; ambergris, castoreum, civet, musk, cantharides, bile (dried or not) glands and other animal products, for pharmaceutical purposes, fresh, chilled, frozen or otherwise provisionally preserved",kg,4120920.0,4120920.0,4827100.66
2023,Paraguay,exported_to,Brazil,051199,Animal products; n.e.c. in chapter 5,kg,4759428.0,4759428.0,3124531.59
2023,Paraguay,exported_to,Brazil,060210,"Plants, live; unrooted cuttings and slips",,0.0,43.72,1.0
2023,Paraguay,exported_to,Brazil,071333,"Vegetables, leguminous; kidney beans, including white pea beans (phaseolus vulgaris), shelled, whether or not skinned or split, dried",kg,1749940.0,1749940.0,1529048.22
2023,Paraguay,exported_to,Brazil,080111,"Nuts, edible; coconuts, desiccated",kg,273437.0,273437.0,1008030.43
2023,Paraguay,exported_to,Brazil,081400,"Peel; of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water and other preservative solutions",kg,106110.0,106110.0,169088.5
2023,Paraguay,exported_to,Brazil,090300,Mate,kg,1342970.0,1342970.0,2018585.0
2023,Paraguay,exported_to,Brazil,100119,"Cereals; wheat and meslin, durum wheat, other than seed",kg,500000.0,500000.0,107750.0
2023,Paraguay,exported_to,Brazil,100199,"Cereals; wheat and meslin, other than durum wheat, other than seed",kg,200895000.0,200895000.0,53185509.5
2023,Paraguay,exported_to,Brazil,100510,"Cereals; maize (corn), seed",kg,336946.0,336946.0,1991468.73
2023,Paraguay,exported_to,Brazil,100590,"Cereals; maize (corn), other than seed",kg,1374160000.0,1374160000.0,269217462.59
2023,Paraguay,exported_to,Brazil,100610,Cereals; rice in the husk (paddy or rough),kg,19778100.0,19778100.0,5803841.5
2023,Paraguay,exported_to,Brazil,100620,Cereals; husked (brown) rice,kg,300016300.0,300016300.0,124527789.8
2023,Paraguay,exported_to,Brazil,100630,"Cereals; rice, semi-milled or wholly milled, whether or not polished or glazed",kg,338780500.0,338780500.0,179218920.5
2023,Paraguay,exported_to,Brazil,100640,"Cereals; rice, broken",kg,26865200.0,26865200.0,7983336.82
2023,Paraguay,exported_to,Brazil,100790,"Cereals; grain sorghum, other than seed",kg,35947000.0,35947000.0,5061816.0
2023,Paraguay,exported_to,Brazil,110100,Wheat or meslin flour,kg,12561700.0,12561700.0,6601280.92
2023,Paraguay,exported_to,Brazil,110313,Cereal groats and meal; of maize (corn),kg,1.8,1.8,0.18
2023,Paraguay,exported_to,Brazil,110710,Malt; not roasted,kg,1.1,1.1,0.11
2023,Paraguay,exported_to,Brazil,110812,Starch; maize (corn) starch,kg,5711100.0,5711100.0,2485883.4
2023,Paraguay,exported_to,Brazil,110814,Starch; manioc (cassava),kg,518400.0,518400.0,202176.0
2023,Paraguay,exported_to,Brazil,120190,"Soya beans; other than seed, whether or not broken",kg,204333000.0,204333000.0,96439612.97
2023,Paraguay,exported_to,Brazil,120242,"Ground-nuts; other than seed, not roasted or otherwise cooked, shelled, whether or not broken,",kg,825000.0,825000.0,1519000.0
2023,Paraguay,exported_to,Brazil,120510,"Oil seeds; low erucic acid rape or colza seeds, whether or not broken",kg,3347000.0,3347000.0,1229946.0
2023,Paraguay,exported_to,Brazil,120590,"Oil seeds; rape or colza seeds, other than low erucic, whether or not broken",kg,3.0,3.0,10.0
2023,Paraguay,exported_to,Brazil,120730,"Oil seeds; castor oil seeds, whether or not broken",kg,840000.0,840000.0,551100.0
2023,Paraguay,exported_to,Brazil,120740,"Oil seeds; sesamum seeds, whether or not broken",kg,327500.0,327500.0,469174.1
2023,Paraguay,exported_to,Brazil,120799,"Oil seeds and oleaginous fruits; n.e.c. in heading no. 1207, whether or not broken",kg,456518.0,456518.0,1136681.25
2023,Paraguay,exported_to,Brazil,120890,Flours and meals of oil seeds or oleaginous fruits; excluding soya beans and mustard seeds,kg,9451.2,9451.2,32647.2
2023,Paraguay,exported_to,Brazil,121299,"Vegetable products; fit for human consumption, n.e.c. in heading no. 1212, fresh, chilled, frozen or dried, whether or not ground",kg,88183.1,88183.1,181120.17
2023,Paraguay,exported_to,Brazil,121300,"Cereal straw and husks; unprepared, whether or not chopped, ground, pressed or in the form of pellets",kg,8000.0,8000.0,160.0
2023,Paraguay,exported_to,Brazil,130239,"Mucilages and thickeners; whether or not modified, derived from vegetable products, n.e.c. in item no. 1302.3",kg,2001.8,2001.8,76376.0
2023,Paraguay,exported_to,Brazil,150210,Tallow; other than those of heading 1503,kg,36868600.0,36868600.0,29807595.8
2023,Paraguay,exported_to,Brazil,150710,"Vegetable oils; soya-bean oil and its fractions, crude, whether or not degummed, not chemically modified",kg,13360600.0,13360600.0,9930122.69
2023,Paraguay,exported_to,Brazil,150790,"Vegetable oils; soya-bean oil and its fractions, other than crude, whether or not refined, but not chemically modified",kg,300000.0,300000.0,270000.0
2023,Paraguay,exported_to,Brazil,150920,"Vegetable oils; olive oil and its fractions, extra virgin olive oil, whether or not refined, but not chemically modified",kg,687.0,687.0,6831.0
2023,Paraguay,exported_to,Brazil,151411,"Vegetable oils; low erucic acid rape or colza oil and its fractions, crude",kg,7970000.0,7970000.0,7910617.82
