hs_code,pry_x_q,pry_x_unit,brz_m_q,brz_m_unit,pry_x_net_wgt,brz_m_net_wgt,pry_x_value,itic_rate,applied_tariff,adj_x_value,brz_m_value,trade_gap,est_tax_loss,wgt_gap,value_ratio,wgt_ratio,density_ratio
020130,21523200.0,kg,20859060.0,kg,21523200.0,20859060.0,124952910.87,1.01,9.6,126577298.71,120517874.0,6059424.71,581704.77,664140.0,0.95,0.97,0.98
020220,52442.3,kg,52443.0,kg,52442.3,52443.0,140419.43,1.01,8.0,141730.01,140643.0,1087.01,86.96,-0.7,0.99,1.0,0.99
020230,7425400.0,kg,7144609.0,kg,7425400.0,7144609.0,37709010.83,1.01,9.6,38060961.6,36218864.0,1842097.6,176841.37,280791.0,0.95,0.96,0.99
020622,2883500.0,kg,2692900.0,kg,2883500.0,2692900.0,3287412.18,1.03,8.0,3397540.49,3053319.0,344221.49,27537.72,190600.0,0.9,0.93,0.96
020629,1037276.0,kg,978823.0,kg,1037276.0,978823.0,2882343.42,1.03,8.0,2978901.92,2749729.0,229172.92,18333.83,58453.0,0.92,0.94,0.98
020649,100016.0,kg,75014.0,kg,100016.0,75014.0,92000.16,1.03,8.0,95082.17,68066.0,27016.17,2161.29,25002.0,0.72,0.75,0.95
040210,1100000.0,kg,1000000.0,kg,1100000.0,1000000.0,3530095.0,1.01,28.0,3570102.74,3306695.0,263407.74,73754.17,100000.0,0.93,0.91,1.02
040221,13750000.0,kg,13725000.0,kg,13750000.0,13725000.0,47044886.95,1.01,22.93,47578062.34,47860007.0,-281944.66,-64659.31,25000.0,1.01,1.0,1.01
050400,1688395.0,kg,1656059.0,kg,1688395.0,1656059.0,11584343.37,1.02,5.76,11808307.34,11407851.0,400456.34,23066.29,32336.0,0.97,0.98,0.98
051000,4120920.0,kg,4150934.0,kg,4120920.0,4150934.0,4827100.66,1.01,0.0,4890657.49,4639404.0,251253.49,0.0,-30014.0,0.95,1.01,0.94
051199,4759428.0,kg,4692471.0,kg,4759428.0,4692471.0,3124531.59,1.19,2.56,3716109.57,3045979.0,670130.57,17155.34,66957.0,0.82,0.99,0.83
060210,0.0,NR,0.0,NR,43.72,0.0,1.0,1.04,0.0,1.04,0.0,1.04,0.0,43.72,NMR,NMR,
071333,1749940.0,kg,1555009.0,kg,1749940.0,1555009.0,1529048.22,1.05,4.0,1612126.51,1353719.0,258407.51,10336.3,194931.0,0.84,0.89,0.94
080111,273437.0,kg,273437.0,kg,273437.0,273437.0,1008030.43,1.01,55.0,1018110.73,1008032.0,10078.73,5543.3,0.0,0.99,1.0,0.99
081400,106110.0,kg,106110.0,kg,106110.0,106110.0,169088.5,1.02,8.0,172357.54,167038.0,5319.54,425.56,0.0,0.97,1.0,0.97
090300,1342970.0,kg,1099929.0,kg,1342970.0,1099929.0,2018585.0,1.01,8.0,2046845.19,1652259.0,394586.19,31566.9,243041.0,0.81,0.82,0.99
100510,336946.0,kg,0.0,NR,336946.0,0.0,1991468.73,1.08,0.0,2145475.65,0.0,2145475.65,0.0,336946.0,NMR,NMR,
100590,1374160000.0,kg,1358283300.0,kg,1374160000.0,1358283300.0,269217462.59,1.08,6.4,290036946.36,268163875.0,21873071.36,1399876.57,15876700.0,0.92,0.99,0.94
100610,19778100.0,kg,20032460.0,kg,19778100.0,20032460.0,5803841.5,1.06,5.33,6140464.31,5872856.0,267608.31,14272.44,-254360.0,0.96,1.01,0.94
100620,300016300.0,kg,300029660.0,kg,300016300.0,300029660.0,124527789.8,1.06,8.0,131750401.61,122610940.0,9139461.61,731156.93,-13360.0,0.93,1.0,0.93
100630,338780500.0,kg,328369611.0,kg,338780500.0,328369611.0,179218920.5,1.06,8.8,189613617.89,173861856.0,15751761.89,1386155.05,10410889.0,0.92,0.97,0.95
100640,26865200.0,kg,26138670.0,kg,26865200.0,26138670.0,7983336.82,1.06,8.0,8446370.36,7834276.0,612094.36,48967.55,726530.0,0.93,0.97,0.95
110100,12561700.0,kg,12392975.0,kg,12561700.0,12392975.0,6601280.92,1.04,9.6,6892837.49,6511738.0,381099.49,36585.55,168725.0,0.94,0.99,0.96
110313,1.8,kg,0.0,NR,1.8,0.0,0.18,1.05,8.0,0.19,0.0,0.19,0.02,1.8,NMR,NMR,
110710,1.1,kg,0.0,NR,1.1,0.0,0.11,1.04,10.1,0.11,0.0,0.11,0.01,1.1,NMR,NMR,
110812,5711100.0,kg,5711100.0,kg,5711100.0,5711100.0,2485883.4,1.03,8.0,2550930.68,2485883.0,65047.68,5203.81,0.0,0.97,1.0,0.97
110814,518400.0,kg,518400.0,kg,518400.0,518400.0,202176.0,1.03,8.0,207466.27,202176.0,5290.27,423.22,0.0,0.97,1.0,0.97
120510,3347000.0,kg,3476800.0,kg,3347000.0,3476800.0,1229946.0,1.07,3.2,1310917.44,1416157.0,-105239.56,-3367.67,-129800.0,1.08,1.04,1.04
120590,3.0,kg,124530.0,kg,3.0,124530.0,10.0,1.07,3.2,10.66,102364.0,-102353.34,-3275.31,-124527.0,9604.13,41510.0,0.23
120730,840000.0,kg,840000.0,kg,840000.0,840000.0,551100.0,1.03,3.2,565887.85,551100.0,14787.85,473.21,0.0,0.97,1.0,0.97
120740,327500.0,kg,327500.0,kg,327500.0,327500.0,469174.1,1.03,3.2,481763.61,469174.0,12589.61,402.87,0.0,0.97,1.0,0.97
120799,456518.0,kg,419053.0,kg,456518.0,419053.0,1136681.25,1.03,3.2,1167182.2,1054263.0,112919.2,3613.41,37465.0,0.9,0.92,0.98
120890,9451.2,kg,6654.0,kg,9451.2,6654.0,32647.2,1.04,8.0,33887.79,25728.0,8159.79,652.78,2797.2,0.76,0.7,1.08
121299,88183.1,kg,138460.0,kg,88183.1,138460.0,181120.17,1.02,6.4,185557.61,289290.0,-103732.39,-6638.87,-50276.9,1.56,1.57,0.99
121300,8000.0,kg,8000.0,kg,8000.0,8000.0,160.0,1.23,6.4,197.52,160.0,37.52,2.4,0.0,0.81,1.0,0.81
130239,2001.8,kg,0.0,NR,2001.8,0.0,76376.0,1.04,7.2,79135.44,0.0,79135.44,5697.75,2001.8,NMR,NMR,
