hs_code,br_x_q,br_x_unit,py_m_q,py_m_unit,br_x_nt_wgt,py_m_nt_wgt,br_x_value,itic_rate,applied_tariff,adj_x_value,py_m_value,trade_gap,est_tax_loss,wgt_gap,value_ratio,wgt_ratio,density
010310,641.0,units,0.0,NR,58244.0,55587.0,649041.0,1.08,0.0,703300.83,649040.72,54260.11,0.0,2657.0,0.92,0.95,0.97
010392,904.0,units,2690.91,units,79649.0,79650.0,579106.0,1.08,2.0,627519.26,579105.9,48413.36,968.27,-1.0,0.92,1.0,0.92
010511,13417432.0,units,0.0,NR,642645.0,667138.8,10782248.0,1.06,1.0,11457216.72,10969520.83,487695.89,4876.96,-24493.8,0.96,1.04,0.92
020130,3428542.0,kg,3828180.0,kg,3428542.0,3828180.0,11463570.0,1.04,12.0,11876258.52,14030355.31,-2154096.79,-258491.61,-399638.0,1.18,1.12,1.06
020220,1822983.0,kg,1845790.0,kg,1822983.0,1845790.0,6153697.0,1.04,10.0,6401075.62,6235915.96,165159.66,16515.97,-22807.0,0.97,1.01,0.96
020230,1993022.0,kg,2261060.0,kg,1993022.0,2261060.0,6529132.0,1.04,12.0,6791603.11,7973398.84,-1181795.73,-141815.49,-268038.0,1.17,1.13,1.03
020329,566560.0,kg,566554.0,kg,566560.0,566554.0,1361534.0,1.06,10.0,1438869.13,1408249.02,30620.11,3062.01,6.0,0.98,1.0,0.98
020621,184991.0,kg,207494.0,kg,184991.0,207494.0,473762.0,1.08,10.0,511094.45,548021.3,-36926.85,-3692.69,-22503.0,1.07,1.12,0.96
020622,0.0,NR,218172.0,kg,0.0,218172.0,0.0,1.08,10.0,0.0,245334.87,-245334.87,-24533.49,-218172.0,NXR,NXR,
020629,209823.0,kg,262317.5,kg,209823.0,262317.5,414503.0,1.08,10.0,447165.84,567495.84,-120330.0,-12033.0,-52494.5,1.27,1.25,1.02
020649,23916.0,kg,48918.1,kg,23916.0,48918.1,23632.0,1.08,10.0,25494.2,47565.15,-22070.95,-2207.09,-25002.1,1.87,2.05,0.91
020712,2000.0,kg,2000.0,kg,2000.0,2000.0,8000.0,1.05,10.0,8432.0,8000.0,432.0,43.2,0.0,0.95,1.0,0.95
020714,31512.0,kg,3504.0,kg,31512.0,3504.0,73065.0,1.05,10.0,77010.51,7266.9,69743.61,6974.36,28008.0,0.09,0.11,0.85
021012,67950.0,kg,67950.0,kg,67950.0,67950.0,291422.0,1.05,10.0,305934.82,291418.73,14516.09,1451.61,0.0,0.95,1.0,0.95
