reporter,year,hs_code,applied_tariff,commodity
Paraguay,2021,10121,0.0,Pure-bred breeding horses
Paraguay,2021,10129,2.0,Live horses (excl. pure-bred for breeding)
Paraguay,2021,10130,4.0,Live asses
Paraguay,2021,10190,4.0,Live mules and hinnies
Paraguay,2021,10221,0.0,Pure-bred cattle for breeding
Paraguay,2021,10229,2.0,Live cattle (excl. pure-bred for breeding)
Paraguay,2021,10231,0.0,Pure-bred buffalo for breeding
Paraguay,2021,10239,2.0,Live buffalo (excl. pure-bred for breeding)
Paraguay,2021,10290,0.0,Live bovine animals (excl. cattle and buffalo)
Paraguay,2021,10310,0.0,Pure-bred breeding swine
Paraguay,2021,10391,2.0,"Live pure-bred swine, weighing < 50 kg (excl. pure-bred for breeding)"
Paraguay,2021,10392,2.0,"Live pure-bred swine, weighing >= 50 kg (excl. pure-bred for breeding)"
Paraguay,2021,10410,0.6666666666666666,Live sheep
Paraguay,2021,10420,1.0,Live goats
Paraguay,2021,10511,1.0,"Live fowls of the species Gallus domesticus, weighing <= 185 g (excl. turkeys and guinea fowls)"
Paraguay,2021,10512,2.0,"Live domestic turkeys, weighing <= 185 g"
Paraguay,2021,10513,2.0,"Live domestic ducks, weighing <= 185 g"
Paraguay,2021,10514,2.0,"Live domestic geese, weighing <= 185 g"
Paraguay,2021,10515,2.0,"Live domestic guinea fowls, weighing <= 185 g"
Paraguay,2021,10594,4.0,"Live fowls of the species Gallus domesticus, weighing > 185"
Paraguay,2021,10599,4.0,"Live domestic ducks, geese, turkeys and guinea fowls, weighing > 185 g"
Paraguay,2021,10611,4.0,Live primates
Paraguay,2021,10612,4.0,"Live whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
Paraguay,2021,10613,4.0,Live camels and other camelids [Camelidae]
Paraguay,2021,10614,4.0,Live rabbits and hares
Paraguay,2021,10619,4.0,"Live mammals (excl. primates, whales, dolphins and porpoises, manatees and dugongs, seals, sea lions and walruses, camels and other camelids, rabbits and hares, horses, asses, mules, hinnies, bovines, pigs, sheep and goats)"
Paraguay,2021,10620,4.0,"Live reptiles ""e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards"""
Paraguay,2021,10631,4.0,Live birds of prey
Paraguay,2021,10632,4.0,"Live psittaciformes ""incl. parrots, parrakeets, macaws and cockatoos"""
Paraguay,2021,10633,2.0,"Live ostriches, and emus [Dromaius novaehollandiae]"
Paraguay,2021,10639,4.0,"Live birds (excl. birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ostriches and emus)"
Paraguay,2021,10641,4.0,Live bees
Paraguay,2021,10649,4.0,Live insects (excl. bees)
