hs_4_code,reporter,ave_itic_rate
101,Paraguay,1.0858
102,Paraguay,1.0375999999999999
103,Paraguay,1.0836000000000001
104,Paraguay,1.0236
105,Paraguay,1.0626
106,Paraguay,1.094
201,Paraguay,1.036
202,Paraguay,1.0402
203,Paraguay,1.0568
206,Paraguay,1.0788
207,Paraguay,1.0539999999999998
209,Paraguay,1.0836000000000001
210,Paraguay,1.0498
303,Paraguay,1.012
304,Paraguay,1.0135999999999998
305,Paraguay,1.011
306,Paraguay,1.0848
307,Paraguay,1.011
401,Paraguay,1.0774000000000001
402,Paraguay,1.0652
403,Paraguay,1.015
404,Paraguay,1.0538
405,Paraguay,1.021
406,Paraguay,1.048
407,Paraguay,1.029
408,Paraguay,1.0674
410,Paraguay,1.049
504,Paraguay,1.0834
510,Paraguay,1.0336
601,Paraguay,1.0746
602,Paraguay,1.0394
603,Paraguay,1.0202
604,Paraguay,1.017
701,Paraguay,1.0535999999999999
702,Paraguay,1.0482
703,Paraguay,1.0413999999999999
704,Paraguay,1.0504
705,Paraguay,1.05
706,Paraguay,1.049
707,Paraguay,1.0497999999999998
708,Paraguay,1.0484
709,Paraguay,1.0508
710,Paraguay,1.0448
711,Paraguay,1.0474
712,Paraguay,1.0493999999999999
713,Paraguay,1.0668
714,Paraguay,1.05
801,Paraguay,1.0379999999999998
802,Paraguay,1.0448
803,Paraguay,1.0502
804,Paraguay,1.048
805,Paraguay,1.0534
806,Paraguay,1.049
807,Paraguay,1.046
808,Paraguay,1.051
809,Paraguay,1.0455999999999999
810,Paraguay,1.0508
811,Paraguay,1.0924
813,Paraguay,1.043
901,Paraguay,1.0416
902,Paraguay,1.0154
903,Paraguay,1.0698
904,Paraguay,1.0326
905,Paraguay,1.0466
906,Paraguay,1.0446
907,Paraguay,1.0504
908,Paraguay,1.052
909,Paraguay,1.039
910,Paraguay,1.0972
1001,Paraguay,1.058
1004,Paraguay,1.1667999999999998
1005,Paraguay,1.035
1006,Paraguay,1.1122
1007,Paraguay,1.0452
1008,Paraguay,1.0816
1101,Paraguay,1.0373999999999999
1102,Paraguay,1.0638
1103,Paraguay,1.1768
1104,Paraguay,1.1024
1105,Paraguay,1.0412
1106,Paraguay,1.0472
1107,Paraguay,1.1638
1108,Paraguay,1.1304
1201,Paraguay,1.0942
1202,Paraguay,1.0674
1204,Paraguay,1.0539999999999998
