reporter,hs_code,bound_tariff,commodity
Paraguay,10110,22.5,Pure-bred breeding horses and asses
Paraguay,10190,35.0,"Live horses, asses, mules and hinnies (excl. pure-bred for breeding)"
Paraguay,10210,10.0,Pure-bred breeding bovines
Paraguay,10290,15.0,Live bovine animals (excl. pure-bred for breeding)
Paraguay,10310,10.0,Pure-bred breeding swine
Paraguay,10391,35.0,"Live pure-bred swine, weighing < 50 kg (excl. pure-bred for breeding)"
Paraguay,10392,35.0,"Live pure-bred swine, weighing >= 50 kg (excl. pure-bred for breeding)"
Paraguay,10410,35.0,Live sheep
Paraguay,10420,35.0,Live goats
Paraguay,10511,15.0,"Live fowls of the species Gallus domesticus, weighing <= 185 g (excl. turkeys and guinea fowls)"
Paraguay,10512,35.0,"Live domestic turkeys, weighing <= 185 g"
Paraguay,10519,35.0,"Live domestic ducks, geese and guinea fowls, weighing <= 185 g"
Paraguay,10592,35.0,"Live fowls of the species Gallus domesticus, weighing > 185 g but <= 2 kg"
Paraguay,10593,35.0,"Live fowls of the species Gallus domesticus, weighing > 2 kg"
Paraguay,10599,35.0,"Live domestic ducks, geese, turkeys and guinea fowls, weighing > 185 g"
Paraguay,10611,35.0,Live primates
Paraguay,10612,35.0,"Live whales, dolphins and purpoises ""mammals of the order Cetacea"" and manatees and dugongs ""mammals of the order Sirenia"""
Paraguay,10619,35.0,"Live mammals (excl. primates, whales, dolphins and purpoises ""mammals of the order Cetacea"", manatees and dugongs ""mammals of the order Sirenia"" and horses, asses, mules, hinnies, bovines, pigs, sheep and goats)"
Paraguay,10620,35.0,"Live reptiles ""e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards"""
Paraguay,10631,35.0,Live birds of prey
Paraguay,10632,35.0,"Live psittaciformes ""incl. parrots, parrakeets, macaws and cockatoos"""
Paraguay,10639,35.0,"Live birds (excl. birds of prey and psittaciformes ""incl. parrots, parrakeets, macaws and cockatoos"")"
Paraguay,10690,35.0,"Live animals (excl. mammals, reptiles, birds, fish, crustaceans, molluscs and other aquatic invertebrates and cultures of micro-organisms, etc.)"
Paraguay,20110,30.0,"Carcases or half-carcases of bovine animals, fresh or chilled"
Paraguay,20120,30.0,"Fresh or chilled bovine cuts, with bone in (excl. carcases and 1/2 carcases)"
Paraguay,20130,30.0,"Fresh or chilled bovine meat, boneless"
Paraguay,20210,30.0,Frozen bovine carcases and halfcarcases
Paraguay,20220,30.0,"Frozen bovine cuts, with bone in (excl. carcases and halfcarcases)"
Paraguay,20230,30.0,"Frozen, boneless meat of bovine animals"
Paraguay,20311,35.0,Fresh or chilled carcases and half-carcases of swine
Paraguay,20312,35.0,"Fresh or chilled hams, shoulders and cuts thereof of swine, with bone in"
Paraguay,20319,35.0,"Fresh or chilled meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts thereof, with bone in)"
Paraguay,20321,35.0,Frozen carcases and half-carcases of swine
Paraguay,20322,35.0,"Frozen hams, shoulders and cuts thereof of swine, boneless"
Paraguay,20329,35.0,"Frozen meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts thereof, boneless)"
Paraguay,20410,35.0,Fresh or chilled lamb carcases and half-carcases
